ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default,F0,F1,F2,F3,F4,F5,F6
13,4000,0,1,2,24,0,0,2,2,2,2,3075.2,3602,3485.6,3667.6,3581,3820.8,640,0,300,0,330,0,1,0.7688,0.177679067,0,0.081797361,0,0.086369347,0
14,64000,0,1,1,49,0,0,0,-1,-1,-1,50657.2,49307.2,38932.6,14014.8,1171.2,39119.8,2071.6,2000,15188,4000,39119.8,10000,0,0.79151875,0.042014148,0.051370831,1.083711505,3.415300546,1,4.827186716
15,36000,1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
16,26000,1,3,2,39,0,0,0,0,0,-1,7671.6,5537.6,4897.8,4123.2,2360.4,186,600,307.4,200,400,186,6752.8,0,0.295061538,0.108350188,0.062762873,0.048506015,0.169462803,1,11.25466667
17,24000,1,2,1,39,-1,-1,-1,-1,-1,-1,63.2,63.2,63.2,0,126.4,63.2,63.2,63.2,0,126.4,63.2,0,1,0.002633333,1,1,100,1,1,0
18,90000,1,1,1,40,-2,-2,-2,-2,-2,-2,1102.4,3884,294.6,112,0,0,3885.6,294.6,112,0,0,225.6,1,0.012248889,1.000411946,1,1,100,100,0.058060531
19,18000,0,1,2,23,0,0,0,-1,0,0,948.8,1414,0,1079.6,1272,1658.4,1151.4,0,1079.6,240,409,400,0,0.052711111,0.814285714,100,1,0.188679245,0.246623251,0.347403161
20,10000,0,3,2,23,0,0,0,0,0,0,9524,8362,7204.6,5793.4,5965.8,6009.2,394.6,285.2,200.2,286.4,212.4,199.4,0,0.9524,0.047189668,0.03958582,0.034556564,0.048006973,0.035345803,0.505321845
21,10000,1,3,2,30,0,0,0,0,0,0,4508.2,3227.6,3432.6,3575.6,3786.2,3923.4,260,260,200,300,200,202.4,0,0.45082,0.080555211,0.075744334,0.055934668,0.079235117,0.050976194,0.778461538
22,10000,1,3,1,47,-1,-1,-1,-1,-1,-1,130,683,683.2,408,6086,51.4,683,684.2,408.8,6086,51.4,0,0,0.013,1,1.0014637,1.001960784,1,1,0
23,10000,0,1,2,26,0,0,0,0,0,0,3065.8,3315,3499.2,3581.4,3675,2280,300,300,200,200,320,0,0,0.30658,0.090497738,0.085733882,0.055844083,0.054421769,0.140350877,0
24,10000,0,2,2,33,2,0,0,0,0,0,6103.6,5923.6,4420.4,4546.8,4643.4,4736,343.6,300,200,200,200,143.2,1,0.61036,0.058005267,0.067867161,0.04398698,0.043071887,0.04222973,0.416763679
25,20000,0,1,2,32,0,0,0,0,0,0,18607.2,16814.2,16576,16191.6,15740.6,15117.8,604.6,702.2,660.4,640.8,640,500.8,0,0.93036,0.035957702,0.042362452,0.040786581,0.040710011,0.042334202,0.828316242
26,100000,1,2,1,54,-2,-2,-2,-2,-2,-2,2185.8,830.4,4544.4,1504.2,14287.8,1796.2,830.4,4565.4,1504.2,14287.8,196.2,10316.4,0,0.021858,1,1.004621072,1,1,0.109230598,12.4234104
27,32000,0,1,2,30,-1,-1,-2,-2,-2,-1,6053,-26.2,-105.4,-184.6,-297.6,-376.8,26.2,79.2,79.2,113,158.4,0,0,0.18915625,-1,-0.75142315,-0.429035753,-0.379704301,-0.420382166,0
28,56000,0,2,1,40,0,0,0,0,0,0,37300.6,36265.6,36084.4,34082,34780.2,35482.6,1605.2,1612,1260,1280,1280,1347.4,0,0.666082143,0.044262331,0.044673044,0.036969661,0.036802549,0.036074019,0.83939696
29,12000,1,2,2,22,0,0,0,0,0,-1,3010.8,1961.2,2213.6,1205.2,-5667,3732,300,303.6,408.6,0,9534.2,123.4,0,0.2509,0.152967571,0.13715215,0.339030866,0,2.55471597,0.411333333
30,56000,0,1,2,31,-1,-1,2,-1,0,-1,99.6,1815,928.2,1995.2,3595.2,1895.4,1815,0,1995.2,1600,1905,156.2,0,0.001778571,1,0,1,0.445037828,1.005064894,0.086060606
31,72000,0,1,2,33,0,0,0,0,0,0,43733.6,44259.2,41379,125739.8,39193.8,35844.8,2000,1400,1200,37768,5600,800,0,0.607411111,0.045188345,0.033833587,0.009543518,0.963621797,0.156229076,0.4
32,14000,1,1,2,25,0,0,0,0,0,0,13504.2,13399.8,12789.8,12739.8,12943.6,13194,600,900,808.4,500,560,500,0,0.964585714,0.044776788,0.070368575,0.063454685,0.038629129,0.042443535,0.833333333
33,28000,1,2,1,37,0,0,0,0,0,0,11900.8,12308.8,12585,12856,13415.8,13960.4,600,600,600,800,800,600,0,0.425028571,0.048745613,0.047675805,0.046670815,0.059631181,0.057304948,1
34,8000,1,1,2,30,0,0,0,2,0,0,3785.4,4259,5184.2,5041.8,5327.2,5839.4,600,1000,0,400,600,0,0,0.473175,0.14087814,0.192893793,0,0.075086349,0.102750283,0
36,30000,1,5,2,46,0,0,-1,0,0,-2,892.6,606.8,234,234,0,0,202.6,234,0,0,0,0,1,0.029753333,0.333882663,1,0,100,100,0
37,76000,0,2,2,32,-1,-1,-1,-1,-1,-1,4480.2,4308,3026.8,6403.6,2369.8,2374.6,4308,3027.6,4935.4,2370.2,2375,1650.2,0,0.05895,1,1.000264306,0.770722718,1.000168791,1.000168449,0.383054782
38,4000,0,1,2,24,0,0,0,0,0,0,3489.4,3695.8,3895.2,3973,4096,4012.6,263.6,263,140.8,185.6,182.4,213.8,0,0.87235,0.071324206,0.067518998,0.035439215,0.0453125,0.045456811,0.81107739
39,20000,1,3,3,43,0,0,0,0,0,0,12311.8,10232.6,8764.8,7923.8,7152.4,6651.6,400,321.2,300,400,300,200,0,0.61559,0.039090749,0.036646586,0.037860622,0.055925284,0.04510193,0.5
40,62000,1,2,1,49,-2,-2,-2,-2,-2,-2,2693,1573.4,1520,2237,708.8,92.8,1575,1520,2237,708.8,92.8,0,0,0.043435484,1.001016906,1,1,1,1,0
41,36000,1,1,2,25,1,2,0,0,0,0,8280.4,8348.4,8551.6,8702,8884,9063.8,260,402,352.4,352.4,358,324.4,0,0.230011111,0.031143692,0.047008747,0.040496438,0.039666817,0.039497782,1.247692308
42,100000,1,1,1,45,-2,-2,-2,-2,-2,-2,381,728,32.4,0,30.2,506,728,32.4,0,30.2,506,0,0,0.00381,1,1,100,1,1,0
43,36000,1,3,1,34,0,0,0,-1,-1,-1,3277.2,3158.6,1688.2,1428.4,-135.8,1664.2,1700,300,1500,135.8,1800,400,0,0.091033333,0.538213132,0.177704063,1.050126015,-1,1.081600769,0.235294118
44,36000,1,2,1,34,0,0,0,0,0,0,35177.2,34688,34461.6,33721.6,26440.4,25983.6,1616.6,1459.2,1050.6,962.8,963.2,760,0,0.977144444,0.046604013,0.042342782,0.031155105,0.036413973,0.037069536,0.470122479
45,80000,1,2,1,29,0,0,0,0,0,0,80026.8,79771.4,80841,72039.8,71331.2,72817.8,3400,3005.8,6000,2400,2400,4600,0,1.000335,0.042621792,0.037181628,0.083287294,0.033645866,0.032958974,1.352941176
46,100000,1,3,1,28,0,0,0,0,0,0,4569.6,4727.6,3775.6,2987.4,2765.4,3114.2,303.2,260,200,200,400,400,1,0.045696,0.064134021,0.068863227,0.066947848,0.072322268,0.128443902,1.319261214
47,14000,0,2,1,39,0,0,0,0,0,-1,14160,14412,13987.6,3303.6,2819.2,166,805,419,200,400,600,0,0,1.011428571,0.055856231,0.029955103,0.060540017,0.141884222,3.614457831,0
48,10000,1,2,1,46,0,0,0,-2,-2,-2,5743.6,5833.2,0,0,0,0,200,0,0,0,0,0,1,0.57436,0.034286498,100,100,100,100,0
49,26000,1,2,1,51,-1,-1,-2,-2,-1,-1,19.8,0,0,0,470.6,0,0,0,0,470.6,0,0,0,0.000761538,100,100,100,1,100,100
50,40000,0,1,1,57,-2,-2,-2,-1,2,2,30503.8,29750.2,28815.2,1634.8,1639.6,1583.6,0,0,1644.4,60,0,200,1,0.762595,0,0,1.005872278,0.036594291,0,100
51,42000,1,1,2,30,2,-1,-1,-1,-1,-1,60,60,231.8,456,60,850,60,231.8,456,60,850,181.8,0,0.001428571,1,1,1,1,1,3.03
52,26000,1,3,2,29,1,-2,-2,-1,2,-1,-38,-1970,-1970,2062.2,2032.2,1463.8,0,0,4032.2,0,1463.8,2779.8,0,-0.001461538,0,0,1.955290466,0,1,100
53,4000,0,5,2,22,2,0,0,0,0,0,3713,3440.8,3457,3617,2241,1196.4,0,240,200,100,200,0,0,0.92825,0,0.069424356,0.055294443,0.044622936,0.167168171,100
54,64000,0,2,2,29,2,2,2,2,2,2,11653.4,11849.2,12036.8,11724.4,12461.4,12705.2,500,500,0,960,480,320,1,0.182084375,0.042196942,0.04153928,0,0.077037893,0.037779807,0.64
55,40000,1,2,1,32,-1,-1,-1,-1,2,-1,1815.2,1157.4,-136.8,1049.4,769.6,630.2,1163.6,3,1820.4,3.4,633,279,0,0.04538,1.005356834,-0.021929825,1.734705546,0.004417879,1.004443034,0.239773118
56,58000,1,1,2,37,1,-2,-1,-1,-1,-1,0,0,631,0,471.8,0,0,631,0,471.8,0,0,0,0,100,1,100,1,100,100
57,4000,0,2,2,24,0,0,2,0,0,0,2923.8,3443.2,3328.4,3395.2,3466.4,3708.6,570,0,122,126,300,0,0,0.73095,0.16554368,0,0.035933082,0.03634895,0.080893059,0
58,10000,0,3,2,25,-1,0,0,0,0,0,8567.6,7445,7217.4,1927.2,1918,2006,351.8,355.8,64,100,200,200,0,0.85676,0.04725319,0.049297531,0.0332088,0.052137643,0.099700897,0.568504832
59,60000,1,1,1,45,-1,-1,-1,-1,-1,-1,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,0,0.00097,1,1,1,1,1,1
61,94000,1,3,3,33,0,0,0,0,0,0,33050.8,31556.8,32540.4,13984.6,5854.2,5977.8,1280,1513.2,600,192,200,600,0,0.351604255,0.040561781,0.046502194,0.042904338,0.032796966,0.033457125,0.46875
62,72000,1,1,2,26,0,0,0,0,0,-1,4682.2,5559.2,6080,6620,36000,39.2,959.2,680,620,29380,39.2,592.6,0,0.065030556,0.172542812,0.111842105,0.093655589,0.816111111,1,0.617806505
63,80000,1,2,1,44,0,0,2,0,0,0,26319,27812,25363.8,20886,20998,18811.6,2140,0.6,610,600,640,560,0,0.3289875,0.076945204,2.36558E-05,0.029206167,0.02857415,0.034021561,0.261682243
64,10000,1,3,2,49,0,0,0,0,0,0,9781.8,9572.6,4297.8,4082.8,3868.4,3896.4,335.2,260.4,140,139.8,169.8,165.2,0,0.97818,0.03501661,0.060589139,0.034290193,0.036138972,0.043578688,0.492840095
65,32000,0,2,2,33,0,0,0,0,0,0,26005.6,21561.6,14386.8,23683.6,23681.4,24083.6,880,709.4,16000,900,960,900,0,0.812675,0.040813298,0.049309089,0.67557297,0.03800451,0.03986115,1.022727273
66,32000,1,2,2,32,0,0,0,0,0,-1,765.2,950.2,1320.8,1720.8,1414.4,153.2,229.4,400,400,0,153.2,460.6,0,0.0239125,0.241422858,0.30284676,0.232450023,0,1,2.007846556
67,26000,1,1,1,35,0,0,0,-1,-1,-1,16262.6,23573.2,3548,266,1419,238,8000,1000,266,1419,238,418,0,0.625484615,0.339368435,0.281848929,1,1,1,0.05225
68,4000,0,3,2,44,2,2,0,0,0,2,1716.6,1660.6,1930.2,2097.6,2462.8,2394,0,330.2,200,400,0,300,0,0.42915,0,0.171070355,0.095347063,0.162416761,0,100
69,56000,1,1,2,39,-1,-1,-1,0,0,-2,1504.8,0,793.6,773.6,0,0,0,793.6,0,0,0,0,0,0.026871429,100,1,0,100,100,100
70,20000,1,1,2,27,-2,-2,-2,-2,-2,-2,-400,1111,0,0,0,0,1511,0,0,0,0,0,0,-0.02,1.360036004,100,100,100,100,0
71,32000,1,2,1,37,-1,-1,-1,-1,-1,-2,176,320.4,168,168,0,0,320.4,168,168,0,0,1547.2,0,0.0055,1,1,1,100,100,4.828963795
72,18000,0,2,2,35,0,0,0,0,0,0,16745,17199.2,17530.6,7113,6188.4,6167,724.2,719.4,235.8,222.4,220.8,228.6,0,0.930277778,0.04210661,0.041036816,0.033150569,0.035938207,0.03580347,0.315658658
73,72000,0,1,1,43,-1,-1,-1,-1,-1,0,793.4,1664.4,678.8,1290.2,5274,1991.2,1667.8,678.8,2580.4,5400,0,13795.6,0,0.011019444,1.002042778,1,2,1.023890785,0,8.27173522
74,30000,0,1,2,27,0,0,0,0,0,0,17201.8,17221.6,17801.2,17955,17545,8157.6,806.2,2001.2,653.2,808,339.6,160,0,0.573393333,0.046813304,0.112419387,0.036379838,0.046053007,0.041629891,0.19846192
75,4000,0,2,1,38,0,0,0,0,0,-1,3594.6,3873.4,3911.8,3648,3585.6,30,339.8,292,125.2,350,30,0,1,0.89865,0.087726545,0.074645943,0.034320175,0.097612673,1,0
76,28000,0,1,2,32,-2,-2,-2,-2,-2,-2,134.4,2042.4,170,83,20,286,2042.4,170,83,20,286,0,0,0.0048,1,1,1,1,1,0
77,76000,1,1,2,30,-2,-2,-1,0,0,0,-16.2,-60.6,6495,6578.2,6712.8,6811.2,44.6,6635.6,234.2,239.4,250,1000,0,-0.000213158,-0.735973597,1.021647421,0.035602444,0.035663211,0.036704252,22.42152466
78,10000,1,3,2,22,0,0,0,0,0,0,8939.6,8450.8,7669.4,6499.2,4695.4,4818.8,353.4,272.4,200.4,168,199,180.8,1,0.89396,0.041818526,0.035517772,0.030834564,0.035779699,0.041296588,0.511601585
79,12000,1,2,2,26,2,2,2,2,2,0,11337,11041.6,11835,12043.6,11089.4,11061,0,1000,502.2,1.2,600,600,0,0.94475,0,0.084495142,0.041698495,0.000108211,0.054244643,100
80,14000,1,2,2,24,-1,-1,-2,-2,-2,-1,1116,0,0,0,0,5305.8,0,0,0,0,5305.8,400,0,0.079714286,100,100,100,100,1,100
81,70000,0,1,2,52,-1,-1,-1,-1,-1,-1,142.6,454.4,144.4,173.4,230,1052.6,454.4,144.4,173.4,230,1052.6,1002.2,0,0.002037143,1,1,1,1,1,2.205545775
82,26000,0,2,2,38,0,0,0,-1,-1,-1,34287.6,35676.4,7988,24096.6,8825.4,25313.6,2181.6,0,26731.4,913.2,26768.2,959.2,0,1.318753846,0.061149668,0,1.109343227,0.103474063,1.057463182,0.439677301
83,72000,0,2,1,35,1,-2,-2,-2,-2,-2,-20.6,-20.6,-20.6,-20.6,-20.6,-20.6,0,0,0,0,0,0,0,-0.000286111,0,0,0,0,0,100
84,10000,0,3,1,47,0,0,2,0,0,0,2648.8,2944.4,3036.2,3185.6,3334.2,3478.6,400,200,200,200,200,200,0,0.26488,0.135851107,0.065871813,0.062782521,0.059984404,0.057494394,0.5
85,56000,0,2,1,41,2,2,2,2,2,3,27134.6,27706.4,26962.6,28880.2,30434.8,29883,1300,0,2850.8,2970,0,1000,0,0.484546429,0.046920567,0,0.098711228,0.097585659,0,0.769230769
86,20000,1,1,2,24,0,0,0,0,0,0,10425.6,10538.4,10895.4,11215.2,12020,11942.6,400,535.4,615.2,1016,600,406.6,0,0.52128,0.037956426,0.049140004,0.054854127,0.08452579,0.050240316,1.0165
87,6000,0,1,2,24,-1,2,0,0,3,2,3639.8,3523.6,3726.2,4263.8,4138.4,4240.2,0,262.4,600,0,200,200,1,0.606633333,0,0.070420267,0.140719546,0,0.047167586,100
88,48000,0,1,2,28,-1,-1,-1,-1,-1,-1,65.2,65.2,65.2,1135.2,95.2,65.2,65.2,65.2,1135.2,95.2,65.2,105.2,0,0.001358333,1,1,1,1,1,1.613496933
89,16000,0,2,2,26,2,0,0,0,0,0,2805.8,3098.6,3326,3411,3525.8,3637.2,400,340,200,200,200,200,1,0.1753625,0.129090557,0.102224895,0.058633832,0.056724715,0.054987353,0.5
90,48000,1,2,2,38,0,0,0,0,-1,-1,10050.8,10289,10603,10495.8,261.4,240.6,400,600,600,261.4,240.6,112.6,0,0.209391667,0.03887647,0.056587758,0.057165723,1,1,0.2815
91,10000,0,3,2,37,2,2,2,3,2,2,9200.8,9195.2,9790.6,9770.2,9863.6,10228.6,200,807,200,280,560,0,1,0.92008,0.021750479,0.082426,0.02047041,0.028387201,0.05474845,0
93,62000,1,2,1,35,2,0,0,0,0,0,60998.2,62248.6,61262.8,51722,49298.2,39777.8,2603.8,2225.6,1681.4,1719.8,1366.6,1197.4,1,0.983841935,0.041829053,0.036328735,0.03250841,0.034885655,0.034355847,0.459866349
94,4000,0,1,2,27,0,0,0,0,0,0,3823,3792.4,3859.6,3875.6,3943.4,3126,280.8,226,120,172.2,62.6,0,0,0.95575,0.074042822,0.058555291,0.030962948,0.043667901,0.020025592,0
95,4000,0,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
96,36000,0,1,1,36,0,0,0,0,0,0,32747.2,23284.4,19855.6,19153.2,19550.6,19185.4,931,538,413.4,428.4,443.4,200,1,0.909644444,0.039983852,0.02709563,0.021583861,0.021912371,0.023111324,0.214822771
97,10000,0,2,1,51,0,0,0,0,0,0,669.4,779.8,900.6,1069.4,1275,1415.4,200,213.2,260,300,240,26.8,1,0.06694,0.256476019,0.236731068,0.243126987,0.235294118,0.169563374,0.134
98,12000,0,3,1,55,3,2,2,0,0,0,12104.2,12290,11448.8,5770.6,5902,5309.4,500.8,1.4,240,240,220,300,0,1.008683333,0.040748576,0.000122284,0.041590129,0.040664182,0.041435944,0.599041534
99,48000,0,1,2,41,1,-1,-1,0,0,-1,19,524.4,660.2,632.8,72,347.4,524.4,660.2,0,72,347.4,184.8,0,0.000395833,1,1,0,1,1,0.352402746
100,84000,0,2,1,34,0,0,0,0,0,0,50690.8,49548.6,45809.8,44190.2,42121.2,37621.6,1948.8,1910.6,1520.6,1566,1450.6,2265.2,0,0.603461905,0.039331081,0.041707233,0.034410344,0.037178428,0.038557637,1.162356322
101,66000,0,3,1,46,0,0,0,0,0,0,45477.8,45743.8,45928.8,45517.4,45555,45640.6,1642,1619,1605,1635,1678.2,1640,0,0.689057576,0.035895575,0.035250213,0.035261241,0.035890682,0.036769893,0.998781973
102,48000,0,2,1,34,0,0,0,2,2,2,2134.8,2407,2736.2,2653.8,2831.6,2778.2,300,360,0,200,0,65.4,0,0.044475,0.124636477,0.13156933,0,0.070631445,0,0.218
103,30000,0,1,2,27,0,0,0,0,0,0,3488.8,3868.4,4400,4922.8,5440,6045.8,500,600,600,600,700,1000,0,0.116293333,0.129252404,0.136363636,0.121881856,0.110294118,0.115782858,2
104,42000,1,2,1,33,0,0,0,0,0,0,1433.2,1599.4,1758.4,1837.8,880.8,1141.6,300,300,200,100,400,109.2,0,0.03412381,0.187570339,0.170609645,0.10882577,0.113533152,0.350385424,0.364
105,10000,0,1,2,24,0,0,0,0,0,0,10160.2,10028.6,9917.2,3886,3875,3799,472,340,200,180,174,426,0,1.01602,0.047065393,0.03428387,0.051466804,0.046451613,0.045801527,0.902542373
107,36000,0,2,2,28,-1,-1,-1,-1,-1,-1,366.4,0,166.4,66.4,83.2,83.2,0,83.2,66.4,100,700,166.4,0,0.010177778,100,0.5,1,1.201923077,8.413461538,100
108,34000,0,2,2,29,-2,-2,-2,-2,-2,-2,2431.8,2000,2000,2000,1996.6,3169.2,2000,2000,2000,1996.6,3172.6,2000,0,0.071523529,1,1,1,1,1.001072826,1
109,4000,0,1,2,29,-1,-1,-1,-1,0,-1,239.8,3117.2,68.8,468,1340.4,67.8,3117.2,68.8,468,940.4,67.8,66,0,0.05995,1,1,1,0.701581617,1,0.021172847
110,10000,0,1,2,28,0,0,0,0,0,3,999.8,1182.6,1463,1839,2124.8,2027.6,200,300,400,316.6,220,0,0,0.09998,0.169118891,0.2050581,0.217509516,0.149002259,0.108502663,0
111,40000,0,1,2,34,1,2,0,0,0,0,39447.2,35238.4,18613.8,27133.6,26446.6,11975,1600,1000,11100,1000,1000,1700,0,0.98618,0.045405013,0.053723581,0.409086889,0.037812044,0.083507307,1.0625
112,16000,1,2,1,23,1,2,3,2,0,0,1833.6,2104.4,2041,1979.6,2024.6,2406.8,330,0,0,75.8,418.2,0.2,0,0.1146,0.156814294,0,0,0.037439494,0.173757687,0.000606061
113,52000,1,1,1,60,1,-2,-1,-1,-1,-1,-220,-220,4280,0,193.8,173.8,0,4500,0,193.8,200,0,0,-0.004230769,0,1.051401869,100,1,1.150747986,100
114,16000,0,1,2,25,0,0,0,0,0,0,8488.8,11148.8,8695.2,8217.4,8390.2,6365.2,6000,600,1200,1600,400,2800,0,0.53055,0.538174512,0.069003588,0.146031592,0.190698672,0.062841702,0.466666667
115,70000,0,1,2,41,1,-1,-1,-1,-1,-2,41.6,581.2,200,126,0,0,581.2,200,126,0,0,0,0,0.000594286,1,1,1,100,100,0
116,56000,1,2,1,56,0,0,0,0,0,0,41755,36470,26451.4,20356.6,35429,33862.2,1608.4,1340,1027.4,20000,1400,1264.2,0,0.745625,0.044102002,0.050658944,0.050470118,0.5645093,0.041344036,0.785998508
117,28000,0,1,1,34,0,0,0,0,0,0,4788.8,5609.8,6414.6,8625.8,9417.2,9739.8,1000,1000,2377,1000,600,1100.8,0,0.171028571,0.178259474,0.155894366,0.275568643,0.106188676,0.061602908,1.1008
118,40000,1,1,2,37,0,0,0,0,0,0,21084,20574,17928.6,18187.6,18501,18806.2,800,650,650,700,712,1000,0,0.5271,0.038884028,0.036254922,0.035738635,0.037835793,0.037859855,1.25
119,40000,1,3,2,30,0,0,0,0,0,0,39206.2,39228.6,37904.8,33432.6,29395,24464.8,1460,1421.6,1536,1240,1000,900,0,0.980155,0.037217744,0.037504485,0.045943181,0.042184045,0.040875053,0.616438356
120,10000,0,3,1,57,3,2,0,0,0,0,2570.8,2472.4,2689.4,2685.4,2742.2,2816.6,0,320,100,100,120,120,0,0.25708,0,0.118985647,0.0372384,0.03646707,0.042604559,100
121,6000,0,1,2,41,2,2,2,2,2,0,4871.4,5490.6,5343.6,5633.6,5515.8,5664.2,700,0,440,0,240,250,0,0.8119,0.12749062,0,0.078102812,0,0.042371385,0.357142857
122,10000,0,2,2,27,2,-1,-1,-1,-1,2,78,78,156,43.2,216,108,78,156,43.2,172.8,0,78,0,0.0078,1,1,1,0.8,0,1
123,50000,1,1,1,34,0,0,2,0,0,0,28244.6,31371.6,30368.2,30560.6,31199.4,32044,3598.8,0,1093.8,1131.2,1362.2,784,0,0.564892,0.11471522,0,0.035791182,0.036257108,0.042510298,0.217850395
124,12000,1,2,1,46,0,0,0,0,0,0,4229.6,4760.6,4981.6,5206.8,5331,5551.2,600,300,300,200,300,300,0,0.352466667,0.126034533,0.060221616,0.057616962,0.037516413,0.054042369,0.5
125,22000,1,1,2,27,0,0,0,0,0,0,20328,20959,20971,14947.4,15211.6,15450.8,1100,780,600,580,600,560,0,0.924,0.05248342,0.037194221,0.04014076,0.038128796,0.038832941,0.509090909
126,20000,0,2,1,27,-1,2,2,0,0,0,20469.8,19369.4,11764.8,5867.2,4595.8,-49.2,633.2,0,266,279.6,2.4,10000,0,1.02349,0.032690739,0,0.045336788,0.060838157,-0.048780488,15.79279848
127,18000,1,2,1,35,0,0,0,0,0,2,14422.4,14770.8,15105.2,15463.4,17170.4,17658,700,700,730.4,2000,800,0,0,0.801244444,0.047390798,0.046341657,0.047234114,0.116479523,0.045305244,0
128,10000,1,2,2,22,0,0,0,0,0,0,5608,5818.4,5873.2,5547.4,5663.6,5761.2,302,288.4,196.4,203.4,255.4,113.4,0,0.5608,0.051904304,0.049104406,0.035403973,0.035913553,0.044331042,0.375496689
129,60000,1,1,2,30,-1,-1,-1,-1,-1,-1,137.6,656,0,868,534.4,160,657.6,0,868,534.4,160,149.2,0,0.002293333,1.002439024,100,1,1,1,0.226885645
130,10000,1,2,2,22,-1,0,0,0,0,0,1713.4,3054.6,2330,1491.4,623,1545,3000,200,29.8,0,1000,2000,0,0.17134,0.982125319,0.08583691,0.019981226,0,0.647249191,0.666666667
131,10000,1,1,2,24,1,-2,-2,-2,-2,-2,-141.8,-141.8,-141.8,-579.6,-654.4,-654.4,0,0,0,0,0,0,1,-0.01418,0,0,0,0,0,100
132,26000,0,3,1,56,1,2,2,2,2,3,12923.4,13195.6,13456.4,13711.4,14559.2,14269,600,600,600,1100,0,0,1,0.497053846,0.045469702,0.044588449,0.043759208,0.075553602,0,0
133,16000,0,1,2,30,-2,-1,0,0,0,0,1237.4,20,120,287.6,383.8,1076,100.8,100,200,100,700,0,0,0.0773375,5.04,0.833333333,0.695410292,0.260552371,0.650557621,0
134,10000,0,2,2,30,1,2,0,0,0,2,9772,9560.2,9672.6,6044.2,4575.4,4472.2,0,300,200,400,0,400,0,0.9772,0,0.031015446,0.033089573,0.08742405,0,100
