ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
19,0,0,0,-1,0,0,948.8,1414,0,1079.6,1272,1658.4,1151.4,0,1079.6,240,409,400
20,0,0,0,0,0,0,9524,8362,7204.6,5793.4,5965.8,6009.2,394.6,285.2,200.2,286.4,212.4,199.4
21,0,0,0,0,0,0,4508.2,3227.6,3432.6,3575.6,3786.2,3923.4,260,260,200,300,200,202.4
22,-1,-1,-1,-1,-1,-1,130,683,683.2,408,6086,51.4,683,684.2,408.8,6086,51.4,0
23,0,0,0,0,0,0,3065.8,3315,3499.2,3581.4,3675,2280,300,300,200,200,320,0
24,2,0,0,0,0,0,6103.6,5923.6,4420.4,4546.8,4643.4,4736,343.6,300,200,200,200,143.2
25,0,0,0,0,0,0,18607.2,16814.2,16576,16191.6,15740.6,15117.8,604.6,702.2,660.4,640.8,640,500.8
26,-2,-2,-2,-2,-2,-2,2185.8,830.4,4544.4,1504.2,14287.8,1796.2,830.4,4565.4,1504.2,14287.8,196.2,10316.4
27,-1,-1,-2,-2,-2,-1,6053,-26.2,-105.4,-184.6,-297.6,-376.8,26.2,79.2,79.2,113,158.4,0
28,0,0,0,0,0,0,37300.6,36265.6,36084.4,34082,34780.2,35482.6,1605.2,1612,1260,1280,1280,1347.4
29,0,0,0,0,0,-1,3010.8,1961.2,2213.6,1205.2,-5667,3732,300,303.6,408.6,0,9534.2,123.4
30,-1,-1,2,-1,0,-1,99.6,1815,928.2,1995.2,3595.2,1895.4,1815,0,1995.2,1600,1905,156.2
31,0,0,0,0,0,0,43733.6,44259.2,41379,125739.8,39193.8,35844.8,2000,1400,1200,37768,5600,800
32,0,0,0,0,0,0,13504.2,13399.8,12789.8,12739.8,12943.6,13194,600,900,808.4,500,560,500
33,0,0,0,0,0,0,11900.8,12308.8,12585,12856,13415.8,13960.4,600,600,600,800,800,600
34,0,0,0,2,0,0,3785.4,4259,5184.2,5041.8,5327.2,5839.4,600,1000,0,400,600,0
35,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,-1,0,0,-2,892.6,606.8,234,234,0,0,202.6,234,0,0,0,0
37,-1,-1,-1,-1,-1,-1,4480.2,4308,3026.8,6403.6,2369.8,2374.6,4308,3027.6,4935.4,2370.2,2375,1650.2
38,0,0,0,0,0,0,3489.4,3695.8,3895.2,3973,4096,4012.6,263.6,263,140.8,185.6,182.4,213.8
39,0,0,0,0,0,0,12311.8,10232.6,8764.8,7923.8,7152.4,6651.6,400,321.2,300,400,300,200
40,-2,-2,-2,-2,-2,-2,2693,1573.4,1520,2237,708.8,92.8,1575,1520,2237,708.8,92.8,0
41,1,2,0,0,0,0,8280.4,8348.4,8551.6,8702,8884,9063.8,260,402,352.4,352.4,358,324.4
42,-2,-2,-2,-2,-2,-2,381,728,32.4,0,30.2,506,728,32.4,0,30.2,506,0
43,0,0,0,-1,-1,-1,3277.2,3158.6,1688.2,1428.4,-135.8,1664.2,1700,300,1500,135.8,1800,400
44,0,0,0,0,0,0,35177.2,34688,34461.6,33721.6,26440.4,25983.6,1616.6,1459.2,1050.6,962.8,963.2,760
45,0,0,0,0,0,0,80026.8,79771.4,80841,72039.8,71331.2,72817.8,3400,3005.8,6000,2400,2400,4600
46,0,0,0,0,0,0,4569.6,4727.6,3775.6,2987.4,2765.4,3114.2,303.2,260,200,200,400,400
47,0,0,0,0,0,-1,14160,14412,13987.6,3303.6,2819.2,166,805,419,200,400,600,0
48,0,0,0,-2,-2,-2,5743.6,5833.2,0,0,0,0,200,0,0,0,0,0
49,-1,-1,-2,-2,-1,-1,19.8,0,0,0,470.6,0,0,0,0,470.6,0,0
50,-2,-2,-2,-1,2,2,30503.8,29750.2,28815.2,1634.8,1639.6,1583.6,0,0,1644.4,60,0,200
51,2,-1,-1,-1,-1,-1,60,60,231.8,456,60,850,60,231.8,456,60,850,181.8
52,1,-2,-2,-1,2,-1,-38,-1970,-1970,2062.2,2032.2,1463.8,0,0,4032.2,0,1463.8,2779.8
53,2,0,0,0,0,0,3713,3440.8,3457,3617,2241,1196.4,0,240,200,100,200,0
54,2,2,2,2,2,2,11653.4,11849.2,12036.8,11724.4,12461.4,12705.2,500,500,0,960,480,320
55,-1,-1,-1,-1,2,-1,1815.2,1157.4,-136.8,1049.4,769.6,630.2,1163.6,3,1820.4,3.4,633,279
56,1,-2,-1,-1,-1,-1,0,0,631,0,471.8,0,0,631,0,471.8,0,0
57,0,0,2,0,0,0,2923.8,3443.2,3328.4,3395.2,3466.4,3708.6,570,0,122,126,300,0
58,-1,0,0,0,0,0,8567.6,7445,7217.4,1927.2,1918,2006,351.8,355.8,64,100,200,200
59,-1,-1,-1,-1,-1,-1,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2
60,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,33050.8,31556.8,32540.4,13984.6,5854.2,5977.8,1280,1513.2,600,192,200,600
62,0,0,0,0,0,-1,4682.2,5559.2,6080,6620,36000,39.2,959.2,680,620,29380,39.2,592.6
63,0,0,2,0,0,0,26319,27812,25363.8,20886,20998,18811.6,2140,0.6,610,600,640,560
64,0,0,0,0,0,0,9781.8,9572.6,4297.8,4082.8,3868.4,3896.4,335.2,260.4,140,139.8,169.8,165.2
65,0,0,0,0,0,0,26005.6,21561.6,14386.8,23683.6,23681.4,24083.6,880,709.4,16000,900,960,900
66,0,0,0,0,0,-1,765.2,950.2,1320.8,1720.8,1414.4,153.2,229.4,400,400,0,153.2,460.6
67,0,0,0,-1,-1,-1,16262.6,23573.2,3548,266,1419,238,8000,1000,266,1419,238,418
68,2,2,0,0,0,2,1716.6,1660.6,1930.2,2097.6,2462.8,2394,0,330.2,200,400,0,300
69,-1,-1,-1,0,0,-2,1504.8,0,793.6,773.6,0,0,0,793.6,0,0,0,0
70,-2,-2,-2,-2,-2,-2,-400,1111,0,0,0,0,1511,0,0,0,0,0
71,-1,-1,-1,-1,-1,-2,176,320.4,168,168,0,0,320.4,168,168,0,0,1547.2
72,0,0,0,0,0,0,16745,17199.2,17530.6,7113,6188.4,6167,724.2,719.4,235.8,222.4,220.8,228.6
73,-1,-1,-1,-1,-1,0,793.4,1664.4,678.8,1290.2,5274,1991.2,1667.8,678.8,2580.4,5400,0,13795.6
74,0,0,0,0,0,0,17201.8,17221.6,17801.2,17955,17545,8157.6,806.2,2001.2,653.2,808,339.6,160
75,0,0,0,0,0,-1,3594.6,3873.4,3911.8,3648,3585.6,30,339.8,292,125.2,350,30,0
76,-2,-2,-2,-2,-2,-2,134.4,2042.4,170,83,20,286,2042.4,170,83,20,286,0
77,-2,-2,-1,0,0,0,-16.2,-60.6,6495,6578.2,6712.8,6811.2,44.6,6635.6,234.2,239.4,250,1000
78,0,0,0,0,0,0,8939.6,8450.8,7669.4,6499.2,4695.4,4818.8,353.4,272.4,200.4,168,199,180.8
79,2,2,2,2,2,0,11337,11041.6,11835,12043.6,11089.4,11061,0,1000,502.2,1.2,600,600
80,-1,-1,-2,-2,-2,-1,1116,0,0,0,0,5305.8,0,0,0,0,5305.8,400
81,-1,-1,-1,-1,-1,-1,142.6,454.4,144.4,173.4,230,1052.6,454.4,144.4,173.4,230,1052.6,1002.2
82,0,0,0,-1,-1,-1,34287.6,35676.4,7988,24096.6,8825.4,25313.6,2181.6,0,26731.4,913.2,26768.2,959.2
83,1,-2,-2,-2,-2,-2,-20.6,-20.6,-20.6,-20.6,-20.6,-20.6,0,0,0,0,0,0
84,0,0,2,0,0,0,2648.8,2944.4,3036.2,3185.6,3334.2,3478.6,400,200,200,200,200,200
85,2,2,2,2,2,3,27134.6,27706.4,26962.6,28880.2,30434.8,29883,1300,0,2850.8,2970,0,1000
86,0,0,0,0,0,0,10425.6,10538.4,10895.4,11215.2,12020,11942.6,400,535.4,615.2,1016,600,406.6
87,-1,2,0,0,3,2,3639.8,3523.6,3726.2,4263.8,4138.4,4240.2,0,262.4,600,0,200,200
88,-1,-1,-1,-1,-1,-1,65.2,65.2,65.2,1135.2,95.2,65.2,65.2,65.2,1135.2,95.2,65.2,105.2
89,2,0,0,0,0,0,2805.8,3098.6,3326,3411,3525.8,3637.2,400,340,200,200,200,200
90,0,0,0,0,-1,-1,10050.8,10289,10603,10495.8,261.4,240.6,400,600,600,261.4,240.6,112.6
91,2,2,2,3,2,2,9200.8,9195.2,9790.6,9770.2,9863.6,10228.6,200,807,200,280,560,0
92,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
93,2,0,0,0,0,0,60998.2,62248.6,61262.8,51722,49298.2,39777.8,2603.8,2225.6,1681.4,1719.8,1366.6,1197.4
94,0,0,0,0,0,0,3823,3792.4,3859.6,3875.6,3943.4,3126,280.8,226,120,172.2,62.6,0
95,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,32747.2,23284.4,19855.6,19153.2,19550.6,19185.4,931,538,413.4,428.4,443.4,200
97,0,0,0,0,0,0,669.4,779.8,900.6,1069.4,1275,1415.4,200,213.2,260,300,240,26.8
98,3,2,2,0,0,0,12104.2,12290,11448.8,5770.6,5902,5309.4,500.8,1.4,240,240,220,300
99,1,-1,-1,0,0,-1,19,524.4,660.2,632.8,72,347.4,524.4,660.2,0,72,347.4,184.8
100,0,0,0,0,0,0,50690.8,49548.6,45809.8,44190.2,42121.2,37621.6,1948.8,1910.6,1520.6,1566,1450.6,2265.2
101,0,0,0,0,0,0,45477.8,45743.8,45928.8,45517.4,45555,45640.6,1642,1619,1605,1635,1678.2,1640
102,0,0,0,2,2,2,2134.8,2407,2736.2,2653.8,2831.6,2778.2,300,360,0,200,0,65.4
103,0,0,0,0,0,0,3488.8,3868.4,4400,4922.8,5440,6045.8,500,600,600,600,700,1000
104,0,0,0,0,0,0,1433.2,1599.4,1758.4,1837.8,880.8,1141.6,300,300,200,100,400,109.2
105,0,0,0,0,0,0,10160.2,10028.6,9917.2,3886,3875,3799,472,340,200,180,174,426
106,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
107,-1,-1,-1,-1,-1,-1,366.4,0,166.4,66.4,83.2,83.2,0,83.2,66.4,100,700,166.4
108,-2,-2,-2,-2,-2,-2,2431.8,2000,2000,2000,1996.6,3169.2,2000,2000,2000,1996.6,3172.6,2000
109,-1,-1,-1,-1,0,-1,239.8,3117.2,68.8,468,1340.4,67.8,3117.2,68.8,468,940.4,67.8,66
110,0,0,0,0,0,3,999.8,1182.6,1463,1839,2124.8,2027.6,200,300,400,316.6,220,0
111,1,2,0,0,0,0,39447.2,35238.4,18613.8,27133.6,26446.6,11975,1600,1000,11100,1000,1000,1700
112,1,2,3,2,0,0,1833.6,2104.4,2041,1979.6,2024.6,2406.8,330,0,0,75.8,418.2,0.2
113,1,-2,-1,-1,-1,-1,-220,-220,4280,0,193.8,173.8,0,4500,0,193.8,200,0
114,0,0,0,0,0,0,8488.8,11148.8,8695.2,8217.4,8390.2,6365.2,6000,600,1200,1600,400,2800
115,1,-1,-1,-1,-1,-2,41.6,581.2,200,126,0,0,581.2,200,126,0,0,0
116,0,0,0,0,0,0,41755,36470,26451.4,20356.6,35429,33862.2,1608.4,1340,1027.4,20000,1400,1264.2
117,0,0,0,0,0,0,4788.8,5609.8,6414.6,8625.8,9417.2,9739.8,1000,1000,2377,1000,600,1100.8
118,0,0,0,0,0,0,21084,20574,17928.6,18187.6,18501,18806.2,800,650,650,700,712,1000
119,0,0,0,0,0,0,39206.2,39228.6,37904.8,33432.6,29395,24464.8,1460,1421.6,1536,1240,1000,900
120,3,2,0,0,0,0,2570.8,2472.4,2689.4,2685.4,2742.2,2816.6,0,320,100,100,120,120
121,2,2,2,2,2,0,4871.4,5490.6,5343.6,5633.6,5515.8,5664.2,700,0,440,0,240,250
122,2,-1,-1,-1,-1,2,78,78,156,43.2,216,108,78,156,43.2,172.8,0,78
123,0,0,2,0,0,0,28244.6,31371.6,30368.2,30560.6,31199.4,32044,3598.8,0,1093.8,1131.2,1362.2,784
124,0,0,0,0,0,0,4229.6,4760.6,4981.6,5206.8,5331,5551.2,600,300,300,200,300,300
125,0,0,0,0,0,0,20328,20959,20971,14947.4,15211.6,15450.8,1100,780,600,580,600,560
126,-1,2,2,0,0,0,20469.8,19369.4,11764.8,5867.2,4595.8,-49.2,633.2,0,266,279.6,2.4,10000
127,0,0,0,0,0,2,14422.4,14770.8,15105.2,15463.4,17170.4,17658,700,700,730.4,2000,800,0
128,0,0,0,0,0,0,5608,5818.4,5873.2,5547.4,5663.6,5761.2,302,288.4,196.4,203.4,255.4,113.4
129,-1,-1,-1,-1,-1,-1,137.6,656,0,868,534.4,160,657.6,0,868,534.4,160,149.2
130,-1,0,0,0,0,0,1713.4,3054.6,2330,1491.4,623,1545,3000,200,29.8,0,1000,2000
131,1,-2,-2,-2,-2,-2,-141.8,-141.8,-141.8,-579.6,-654.4,-654.4,0,0,0,0,0,0
132,1,2,2,2,2,3,12923.4,13195.6,13456.4,13711.4,14559.2,14269,600,600,600,1100,0,0
133,-2,-1,0,0,0,0,1237.4,20,120,287.6,383.8,1076,100.8,100,200,100,700,0
134,1,2,0,0,0,2,9772,9560.2,9672.6,6044.2,4575.4,4472.2,0,300,200,400,0,400
135,0,0,2,0,0,0,15576.6,16362.2,16050,12293.4,2132.4,2297.2,1160,200,120,80,200,0
136,-1,-1,2,0,0,-1,2442.4,5315.6,5066.2,5321,5255.8,251.2,3000,0,400,0,251.2,13187
137,0,-1,0,0,0,0,9921.6,2482.4,2974.6,3472.8,3554,3492,2500,1300,600,400,600,400
138,0,0,0,0,0,0,11604.8,11578.2,9767.8,3794.2,3864.6,3879,500,320,600,200,147.4,400
139,0,0,0,0,0,-1,2128.4,2335.4,2614,2456,323,324,240,318.6,120.2,27,364.8,0
140,1,2,0,0,2,0,2896.6,2792.2,3064.6,3253.6,3173.6,3289.6,0,320,300,0,200,300
141,2,2,2,2,2,2,39887.2,40589.4,38787.2,39237.2,40032.4,37983,1642.8,1400,1360,1426.8,0,1367.2
142,1,-1,0,0,0,0,0,1079.2,2054,2715.2,2772.8,2927.2,1079.2,1000,700,100.2,200,400
143,1,5,4,4,3,2,4340.6,4217.4,4292.2,4167,4043.8,4097.4,0,200,0,0,152,0
144,2,0,0,0,2,0,3925,4069.4,4333.8,4601,4499.8,4574.6,268.4,332.8,400,0,180,169.2
145,-1,-1,-1,-2,-1,0,2277.2,39.8,0,0,3445.4,3408.4,39.8,0,0,3445.4,68.2,1022.8
146,-1,-1,2,0,0,-2,2934,4417.4,4256.4,2040,0,0,7573.4,0,40,0,0,0
147,1,2,2,2,2,2,7233.2,7437.6,7536,7692.4,7845.6,8007,380,280,340,306.4,320,0
148,-2,-2,-2,-2,-2,-2,0,0,0,23.2,0,300,0,0,23.2,0,300,0
149,0,0,0,0,-1,0,3710.6,3889.2,3813,1666.4,3773.6,3849.4,300,206.4,108.2,4000,138.6,200
150,1,2,2,0,0,0,5802,5851.2,5624.4,5967.2,326,0,200,17,342.8,20.8,0,0
151,-2,-2,-2,-2,-2,-2,150,0,0,0,0,0,0,0,0,0,0,0
152,0,0,2,0,0,2,5424.6,5459.8,3597,4045,5481.4,2166.6,5000,0,600,1560,0,500
153,0,0,0,0,0,0,21462.8,22115.6,22747.2,23200,23826.2,24427,1000,1000,830.4,1000,1000,1000
154,0,0,0,0,0,0,45286,46375.6,46838.4,38042.2,34711.4,29302.2,1820,1460,1160,1120,1120,820
155,-1,-1,0,0,0,0,45.4,4070.2,4047.4,3867.8,3890,3867.4,4471.8,261,251.6,291.8,691.4,340
156,-1,-1,-1,-1,-1,-1,617.6,317.2,68.6,752.6,175.4,0,317.2,68.6,752.6,175.4,0,83.8
157,0,0,0,0,0,0,16325,16310.8,15919.8,9910.4,9901.8,9913.6,640,600,407.6,400,360,360
158,-1,-1,-1,-1,-2,-2,1774.4,867.4,570.8,338,0,341.8,869,570.8,340.4,0,341.8,51.6
159,1,-2,-1,0,-1,-1,0,0,50,24.6,157.8,244.4,0,50,0,157.8,244.4,1923.2
160,0,0,0,0,0,0,7651.4,7780.2,7620.6,7241.4,6627.6,6267.8,340,300.8,240,300,300,200
161,0,0,0,2,0,0,5669.4,5621.6,3677.6,2598.4,1547.2,1606.4,607.2,461.8,0,200,400,29.6
162,-1,-1,-1,-1,-1,2,78,78,78,48,264,156,78,78,48,294,0,0
163,1,-2,-2,-2,-2,-2,-189.2,-189.2,-189.2,-189.2,-189.2,-189.2,0,0,0,0,0,0
164,2,0,0,0,0,0,15855.6,15700.2,15706.8,16003.2,15247,15649,620,700,680,600,700,600
165,-1,-1,-1,-1,-2,-2,284.8,908.4,25.2,0,0,0,908.4,25.2,0,0,0,0
166,2,2,2,0,0,0,21033.4,23093.6,22431.4,22938,23569,24047.6,2400,0,1180,1000,900,940
167,0,0,0,0,0,0,67039.2,66990.8,67105.4,66772,67152,66024.2,2477.6,2475.6,2423.2,2490,2442.6,2335.6
168,0,0,0,0,0,0,18330.6,18807.4,21719.4,13182.6,8761,6652.6,2008.4,3766.4,423.4,415.2,1009,750.8
169,1,3,2,0,0,0,10525.2,10307.4,9841,6078.8,6049.8,5991.4,0,4.8,300,200,240.2,6118.4
170,0,0,0,0,0,0,26074,26239.8,25780,25102.8,25456,25767.8,1306,972,4500,964,975.4,992.4
171,0,0,0,0,0,0,3291,3302.2,3780.4,3753.6,3730,3835,321.8,600,132.6,135.2,166.8,156.4
172,2,0,0,0,0,0,9951.6,9691.2,8823.2,4249.4,4013.2,3771.6,480.2,450.8,400.8,140.8,141.4,200.8
173,1,2,0,0,0,0,3830.8,3633,3446.6,1526,346,0,0,266.6,100,20,0,640
174,1,2,0,0,2,0,4047,3426.4,3371.2,3375,2690.8,2020.8,0,240,200,0,200,2000
175,0,0,-2,-1,-1,0,20560,0,0,524.8,9113.4,9311.4,0,0,524.8,9113.4,349.4,400
176,2,0,0,0,2,2,25960.2,26276.6,26875.8,28464.6,28024,30010.4,1000,1000,2000,0,2423.6,553.8
177,-1,-1,-1,-1,-1,-1,1597.6,795.4,1369.6,343.8,275.6,3988.4,796.6,1370.6,343.8,275.6,3988.4,483.6
178,0,0,0,0,0,0,25480.4,22010,10309.4,8876.8,7380,5899.4,900,349,313.2,241.6,215.4,505.8
179,-2,-2,-2,-2,-1,-1,288,0,1484.4,178.6,1216.4,458.6,0,1484.4,178.6,1216.4,458.6,659.8
180,0,0,0,0,0,0,3869.2,4341.6,4588,3813.6,3281.8,3276.6,600,400,439.6,200,600,479.8
181,1,2,2,-2,-2,-1,4300.2,4130,0,0,0,457,0,0,0,0,457,0
182,0,0,0,0,0,0,9434.8,9594.8,9726,10160.6,6157.8,3174.8,360,400,600,400,400,400
183,-1,-1,2,2,-1,-1,627.8,1170.6,564.2,0,564.2,0,564.2,0,0,564.2,0,35.2
184,-1,-1,2,2,2,2,28.4,43,27.8,3.8,3.8,15.8,71,24,0,0,12,12
185,0,0,0,0,0,-2,3963.2,4079.2,4020.4,3915,0,0,320.2,440.6,422.8,0,0,0
186,0,0,0,0,0,0,7553.4,6891.4,6007.2,6067.4,6199.4,6580.8,357.6,359.8,220,230,484.6,0
187,0,0,0,0,2,0,9228,9156.2,9627.8,10227.4,7890,5071.6,500.8,801.4,1011.2,14.8,204.6,513.2
188,0,0,0,0,0,0,7142.6,3078.4,3219.8,3283.6,3353,3496.8,312.2,253.6,117.4,122.2,200,400
189,0,0,0,0,0,0,5848.4,5901.4,5831,5051,4400.2,0,1001.2,248.8,170.2,191,0,0
190,0,0,0,0,0,0,20310.2,21049.2,20956.2,21066.8,21539.8,21365.6,1073.2,1017.4,721,778.8,757,660.8
191,0,0,0,0,-1,0,14048.6,9555.8,5610.4,1444.4,19933.8,16885.2,1408.4,400,200,19933.8,2520,2000
192,0,0,0,0,0,0,5539.8,5702.6,5868.2,5985.6,5906.6,5707.6,313,278.6,196,198.8,204.8,177.2
193,0,-1,-1,-1,-1,-1,230.8,246.6,172.4,271,226,4272.2,246.6,215,271,226,4272.2,269.4
194,-1,-1,-1,-1,0,-1,1603,490.6,1924.8,10514.4,1466.6,442,490.6,1976,10514.4,309.2,442,0
195,2,0,0,0,0,0,42076,42704.4,40370.4,33823,34433.8,32480.4,2000,1804,1200,1100,1200,1100
196,0,0,0,0,0,0,15666.2,19882.8,21537.2,20755.2,17453,7347.8,8002,4018.8,1000,1000.2,5073,13000
197,0,0,0,0,0,0,9855.2,7020,6512.6,5564.6,5826,5661.8,320.4,280,600,626,212.4,1263.6
198,-2,-2,-2,-2,-2,-2,456.6,10163,0,0,59.8,67.6,10263,0,0,59.8,67.6,0
199,-1,-1,-1,-1,-1,-1,2023,49.8,1197.2,37.6,328.8,3374.4,51.6,1199,37.6,328.8,3374.4,800
200,-1,-1,-2,-1,-1,-1,1231.2,0,0,63.2,63.2,63.2,0,0,63.2,63.2,63.2,63.2
201,0,0,0,0,0,0,17800.6,18272.4,14439.4,9930.8,5613,5500,820,619,326,112.2,120,0
202,0,0,0,0,0,0,6974.2,6889.8,6726.8,6917.2,6952.4,7134.6,320,320,300,300,300,300
203,3,2,2,0,0,-1,2738.8,2976,2848.4,2793.6,2863.8,522.8,340,0,85.2,100.2,522.8,278
204,-1,2,-1,0,0,0,216.4,126.4,270,180,90,0,0,270,0,0,0,90
205,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,2250.6,2570.4,2804.8,2902.4,3265,2381,400,264.4,400,400,240,600
207,0,0,0,0,0,0,13739.8,13824,13675.2,6032.6,2862,3017,896.6,2499.2,653.6,600,600,400
208,2,-1,-1,-1,-1,-1,34.2,543,-2.6,528.2,-2,4507,545.6,0,530.8,0,4509,0
209,-1,-1,-1,-1,-1,-1,231.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2,63.2
210,0,0,0,0,0,0,20621.8,20518.8,19421.8,19805.8,20174.2,20259.8,800,900,1000,800,1000,880
211,0,0,-1,0,0,-2,302.4,491.6,132.8,362.8,0,0,200,132.8,300,0,0,0
212,0,0,0,0,-1,-1,25508.6,21837.8,18526,13933.8,8829.8,8682.8,2012.6,1032.4,2030,8859.8,8701.8,6206.2
213,0,0,0,0,0,0,10698.8,10531.2,10520,10467.2,11166.2,11253,834.6,600,405,1000,600,600
214,0,0,0,0,0,0,39025.2,17748.6,18439,18962.8,19636.4,19691.4,1000,1000,1000,1000,800,1000
215,-1,-1,-1,-1,-1,-1,22069.2,8397.2,4374.8,4015.2,3234.2,117.2,8397.2,4374.8,4015.2,3234.2,117.2,3955.4
216,0,0,0,0,0,0,36128.2,36311.4,29988.8,22627,21056,19524.4,1722,1381.4,745.4,760,800.2,540.2
217,2,0,0,0,0,0,14179.2,14335.6,14025,13971.2,13943.6,10273,694.4,418.4,400,425.4,392,311.8
218,0,0,0,0,0,0,1750.2,1980,2121,2153,2353,862.2,259,200,200,200,200,200
219,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
220,3,2,2,2,2,2,340,522,382.8,436.4,400,513.2,220,0,60,0,120,0
221,0,0,2,0,0,0,1403,2045.4,1912,1980.2,1992.6,2036.4,701.4,0,100,74,78.6,140
222,0,0,0,0,0,0,38870.6,39468.8,37258.4,26669,26726.8,26798,1800,1493,943,960.8,1028.2,1060
223,-1,-1,-1,-1,-1,-1,337.2,131.4,435.8,284.6,0,364,131.4,463.8,284.6,0,364,499.2
224,0,0,0,0,0,0,28645,28599.2,28883,29638,29598.6,26325.8,1296.6,1016.4,1200,1180,908.8,940
225,1,-2,-1,0,-1,-1,0,0,2600.2,2520.2,3919,40.6,0,2600.2,0,3919,40.6,0
226,0,0,0,0,0,0,19841.8,19644.4,13437,13385.2,13359.2,12902.6,698,466.4,462.8,473,499.4,461
227,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,32400,0
228,0,0,2,0,0,0,2393.6,2912.8,5564,3164.8,3152.2,2502,560,0,800,340,200,400
229,-1,-1,-1,0,0,0,174.2,133,192,848.4,816.8,1482.8,133,192,781.6,202.8,700,576
230,-2,-2,-2,-2,-2,-2,86.4,644,1140.8,251.2,369.6,80,644,1180.8,0,600,0,0
231,1,-1,-1,-2,-2,-2,0,1043,0,0,0,0,1043,0,0,0,0,0
232,2,2,2,3,3,4,1944,2122.6,2267.8,2568.2,2767.2,2902.8,240,240,400,300,300,300
233,-1,-1,-1,-1,-1,-1,4169.4,2760.2,2873.2,977.8,54.6,2347.2,2761.8,2916.6,977.8,54.6,2711.4,0
234,0,0,0,0,0,0,28660.2,29266.6,29408.4,25562.8,26066.2,26569,1400,1000,1000,980,1000,1020
235,0,0,0,2,0,0,2186.8,2747.6,3313.4,2082.2,2611.4,2868,600,620,0,600,300,0
236,-1,2,2,2,0,0,10487.8,10208,11241,10944.6,11731.4,11996.6,0,1200,0,1000,457.2,600
237,0,0,0,0,0,0,9901.4,6656.4,6862.4,3455.4,3561.6,3869.2,394,400,123.6,161.8,400,123.2
238,0,0,0,0,0,0,9563.8,9789.4,10066,10178.8,10435,10730.4,440,500,400,420,500,440
