ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE
458,40000,1,2,1,34
459,72000,1,1,2,29
460,10000,0,2,1,37
461,8000,0,2,2,23
462,30000,0,1,2,33
463,40000,1,1,1,37
464,54000,1,2,1,56
465,40000,1,2,1,39
466,30000,1,2,1,39
467,36000,1,2,2,28
468,72000,1,2,1,37
469,18000,1,1,2,24
470,4000,1,2,2,24
471,46000,0,1,1,39
472,6000,0,3,1,48
473,40000,1,3,3,45
474,10000,1,2,2,23
475,4000,1,3,1,25
476,42000,1,2,1,47
477,4000,1,3,1,44
478,10000,1,3,1,49
479,10000,0,2,1,41
480,34000,0,2,2,31
481,56000,0,2,1,42
482,26000,1,3,1,28
483,74000,0,2,2,28
484,6000,1,2,1,31
485,30000,0,3,2,39
486,16000,1,2,2,24
487,56000,1,2,1,44
488,4000,1,2,2,46
489,48000,1,2,2,26
490,4000,1,1,2,22
491,90000,1,1,1,42
492,56000,0,2,1,39
493,58000,1,3,2,27
494,38000,1,1,2,28
495,56000,1,2,2,28
496,32000,1,1,1,33
497,18000,0,2,1,40
498,10000,0,1,2,22
499,8000,1,2,1,32
500,26000,1,3,1,43
501,6000,1,2,1,35
502,20000,1,3,1,35
503,4000,1,1,1,30
504,4000,0,2,1,34
505,20000,1,1,2,28
506,6000,0,2,2,25
507,18000,0,3,2,42
508,38000,0,2,2,40
509,40000,0,1,2,28
510,6000,1,1,2,56
511,22000,1,2,3,45
512,46000,1,1,2,29
513,62000,1,2,2,28
514,64000,0,1,1,40
515,72000,0,1,1,47
516,34000,1,2,2,27
517,28000,0,1,1,40
518,16000,0,2,2,32
519,34000,0,2,2,27
520,40000,1,2,1,29
521,14000,0,1,2,30
522,30000,1,1,2,29
523,10000,1,1,1,34
524,18000,1,2,2,34
525,60000,1,1,2,31
526,80000,1,2,2,40
527,40000,1,1,1,27
528,10000,1,2,3,30
529,6000,1,2,3,22
530,10000,0,1,2,26
531,6000,1,3,1,46
532,4000,0,2,2,24
533,4000,0,2,2,49
534,6000,1,2,1,42
535,72000,1,1,1,30
536,34000,0,2,1,42
537,10000,1,2,1,49
538,32000,1,2,2,27
539,14000,1,2,1,33
540,16000,1,2,2,48
541,6000,1,2,2,22
542,2000,0,2,2,22
543,64000,0,1,1,47
544,16000,1,2,2,34
545,2000,0,2,1,45
546,90000,0,2,2,33
547,66000,1,2,2,29
548,12000,0,1,2,29
549,40000,0,2,1,38
550,24000,0,1,2,34
551,32000,1,1,1,37
552,14000,1,3,1,50
553,30000,1,3,2,28
554,122000,1,1,2,31
555,16000,1,2,2,25
556,34000,1,2,1,33
557,22000,1,1,2,30
558,14000,0,1,2,51
559,52000,1,2,1,46
560,34000,0,3,2,38
561,60000,1,3,1,34
562,30000,1,1,2,31
563,10000,1,2,2,25
564,18000,1,1,2,25
565,10000,0,2,2,26
566,100000,1,2,2,43
567,46000,0,2,2,58
568,28000,1,2,2,26
569,46000,1,2,1,30
570,6000,1,2,2,24
571,10000,1,2,2,52
572,28000,1,2,2,24
573,18000,1,3,2,29
574,48000,1,2,1,33
575,102000,1,1,2,35
576,42000,1,1,2,28
577,44000,0,2,1,40
578,40000,1,1,1,35
579,52000,0,1,2,44
580,4000,0,2,1,33
581,24000,1,2,1,32
582,12000,1,1,2,26
583,40000,0,1,2,26
584,4000,0,2,2,26
585,10000,1,2,2,31
586,46000,0,1,2,29
587,10000,0,2,1,27
588,42000,1,1,1,42
589,46000,1,2,1,32
590,100000,1,1,2,26
591,46000,1,1,1,35
592,16000,0,2,2,29
593,12000,1,2,2,29
594,14000,0,1,2,27
595,82000,0,1,2,32
596,56000,1,3,1,40
597,20000,1,2,1,30
598,46000,1,1,2,29
599,10000,1,1,2,22
600,42000,1,2,1,35
601,80000,0,1,2,37
602,4000,0,2,2,25
603,46000,1,1,2,28
604,44000,0,2,2,29
605,60000,1,1,1,36
606,4000,1,3,2,36
607,38000,1,1,2,26
608,32000,1,2,0,37
609,140000,1,1,1,39
610,28000,1,1,2,24
611,60000,1,3,1,29
612,56000,1,2,1,39
613,14000,0,3,1,51
614,4000,1,3,2,24
615,12000,0,1,2,30
616,40000,1,3,0,51
617,10000,1,2,2,24
618,4000,1,1,2,22
619,8000,0,1,2,27
620,34000,1,2,2,33
621,2000,0,2,2,37
622,40000,1,2,1,58
623,10000,1,2,1,48
624,4000,1,3,1,24
625,94000,1,2,1,27
626,46000,1,3,2,30
627,6000,1,3,2,53
628,16000,1,2,2,23
629,22000,1,2,1,55
630,100000,0,1,1,43
631,16000,1,2,2,22
632,70000,1,2,1,31
633,22000,1,2,2,33
634,100000,0,3,1,39
635,98000,1,1,1,38
636,10000,0,2,3,42
637,30000,0,3,1,37
638,16000,1,3,1,57
639,6000,0,2,2,32
640,10000,0,1,1,37
641,28000,1,2,2,23
642,6000,1,2,2,25
643,8000,1,1,2,29
644,20000,1,3,1,43
645,4000,1,2,2,27
646,10000,0,1,2,26
647,52000,0,1,1,41
648,2000,1,2,1,31
649,40000,0,1,2,32
650,6000,1,2,1,46
651,20000,0,1,2,35
652,28000,1,2,1,39
653,58000,1,2,2,34
654,16000,1,3,1,40
655,100000,1,3,1,38
656,36000,0,1,1,45
657,6000,1,2,1,25
658,30000,0,1,2,33
659,56000,1,2,2,27
660,4000,1,2,1,43
661,40000,0,1,2,30
662,42000,1,2,1,49
663,10000,0,3,2,57
664,10000,0,3,2,55
665,14000,1,2,2,23
666,36000,1,2,1,30
667,18000,1,2,2,24
668,78000,0,2,2,28
669,80000,0,2,2,37
670,16000,1,2,1,32
671,64000,0,1,2,27
672,40000,0,1,2,31
673,22000,0,1,3,55
674,34000,1,1,2,28
675,40000,0,1,1,36
676,72000,0,1,2,30
677,28000,1,1,1,36
678,20000,0,3,1,50
679,16000,1,2,2,40
680,6000,1,2,2,27
681,24000,1,2,2,26
682,10000,0,1,2,27
683,72000,1,1,2,27
684,100000,0,1,2,32
685,28000,1,3,1,46
686,6000,0,3,1,45
687,40000,0,1,1,39
688,70000,0,1,1,48
689,24000,0,1,2,32
690,18000,1,1,2,23
691,52000,1,1,2,33
692,10000,1,1,2,24
693,4000,1,1,2,24
694,6000,1,2,2,24
695,36000,0,1,2,27
696,10000,1,2,2,22
697,36000,1,1,2,36
698,40000,0,1,1,34
699,64000,0,1,1,60
700,32000,1,2,2,29
701,6000,0,2,2,32
702,10000,0,2,2,30
703,18000,1,2,2,29
704,48000,0,1,2,34
705,40000,1,2,1,32
706,10000,1,1,2,25
707,10000,0,2,1,44
708,16000,1,2,2,24
709,10000,1,2,2,23
710,72000,1,1,2,29
711,10000,0,2,1,59
712,94000,0,2,2,33
713,32000,1,3,1,51
714,16000,1,2,1,32
715,100000,1,3,2,42
716,36000,0,2,2,39
717,32000,0,1,1,41
718,42000,1,2,2,30
719,40000,1,1,1,34
720,50000,0,1,2,41
721,76000,0,1,2,43
722,6000,0,2,2,47
723,6000,0,2,2,30
724,10000,0,2,2,24
725,100000,0,1,1,36
726,44000,1,1,1,36
727,4000,1,2,1,27
728,36000,1,2,1,32
729,26000,1,2,1,33
730,36000,1,3,1,39
731,30000,1,1,3,30
732,10000,1,2,2,22
733,4000,0,2,2,25
734,36000,0,1,2,28
735,30000,1,3,1,54
736,14000,1,1,2,24
737,6000,0,2,2,29
738,12000,0,3,1,49
739,10000,1,1,2,23
740,26000,0,3,2,43
741,76000,0,3,1,53
742,72000,1,2,2,25
743,10000,0,3,1,54
744,52000,1,1,1,44
745,16000,1,2,2,27
746,72000,1,1,2,25
747,40000,0,1,2,39
748,28000,0,1,1,45
749,72000,0,1,1,38
750,24000,0,2,2,25
751,20000,0,2,1,29
752,40000,1,2,1,28
753,72000,0,1,2,36
754,30000,1,3,2,30
755,28000,0,1,2,29
756,34000,1,2,1,37
757,6000,0,2,2,34
758,16000,1,1,2,27
759,82000,1,1,1,31
760,90000,0,1,2,38
761,16000,0,2,2,36
762,26000,1,1,1,36
763,32000,1,1,2,26
764,28000,1,3,2,57
765,36000,1,3,0,45
766,14000,0,1,3,57
767,30000,1,2,2,25
768,40000,1,1,1,35
769,62000,0,2,2,33
770,36000,0,1,1,38
771,90000,1,1,2,41
772,40000,0,1,2,33
773,6000,1,2,1,67
774,34000,0,1,2,33
775,28000,1,1,2,31
776,40000,1,2,2,35
777,12000,0,2,2,27
778,30000,0,1,2,23
779,36000,0,3,1,54
780,10000,0,3,2,24
781,4000,0,2,2,26
782,46000,1,2,2,52
783,18000,1,1,2,36
784,4000,1,1,2,22
785,6000,1,1,2,23
786,28000,1,3,2,24
787,60000,1,1,1,42
788,20000,0,2,1,49
789,54000,1,3,2,33
790,6000,0,1,1,42
791,14000,0,3,2,41
792,4000,0,2,2,23
793,38000,1,1,2,33
794,4000,1,2,1,29
795,4000,0,3,1,33
796,12000,1,3,1,34
797,10000,0,2,1,49
798,60000,0,1,1,42
799,6000,1,3,1,55
800,54000,1,2,1,25
801,48000,0,2,2,43
802,40000,0,1,2,40
803,22000,1,1,2,35
804,30000,1,2,1,44
805,70000,0,1,2,33
806,72000,0,6,1,66
807,20000,0,3,2,47
808,100000,0,1,2,27
809,100000,0,1,2,35
810,80000,1,3,1,39
811,20000,1,2,2,29
812,2000,0,2,1,32
813,10000,1,1,2,25
814,16000,1,2,2,23
815,22000,1,2,1,43
816,52000,1,2,1,40
817,6000,1,3,1,35
818,62000,1,1,2,28
819,50000,0,1,2,31
820,42000,0,3,1,29
821,72000,0,2,1,41
822,134000,0,1,2,29
823,26000,0,1,2,26
824,34000,0,1,1,42
825,22000,0,1,1,50
826,42000,1,3,2,46
827,6000,1,2,2,24
828,30000,1,3,2,28
829,4000,1,2,1,35
830,76000,1,1,1,40
831,24000,1,2,1,47
832,16000,0,2,1,54
833,6000,1,2,2,33
834,10000,1,3,1,44
835,18000,1,2,1,24
836,22000,0,1,2,33
837,12000,0,1,2,27
838,30000,1,2,2,37
839,4000,0,1,2,24
840,24000,1,2,1,34
841,40000,1,2,2,40
842,4000,0,2,2,30
843,40000,1,2,1,41
844,20000,1,2,2,29
845,60000,0,1,1,38
846,72000,1,2,1,52
847,32000,1,1,2,29
848,10000,1,2,2,23
849,40000,1,2,2,34
850,54000,0,1,1,44
851,10000,1,2,1,36
852,12000,1,2,2,31
853,10000,0,2,2,31
854,10000,0,2,1,41
855,46000,1,3,2,47
856,4000,0,2,2,25
857,6000,1,1,2,25
858,28000,1,2,1,24
859,20000,1,2,1,35
860,48000,0,2,1,32
861,72000,0,1,2,33
862,28000,1,1,2,30
863,10000,0,2,1,52
864,56000,0,1,2,30
865,36000,1,2,2,42
866,30000,1,1,2,30
867,70000,1,2,1,29
868,26000,1,1,2,23
869,94000,0,3,1,39
870,16000,0,2,2,26
871,14000,0,1,2,33
872,46000,1,2,1,44
873,42000,1,2,1,39
874,4000,0,2,2,24
875,28000,1,2,2,25
876,10000,1,3,1,59
877,16000,1,1,2,23
878,6000,1,3,2,48
879,16000,0,3,1,62
880,44000,1,3,1,38
881,36000,1,1,2,32
882,36000,0,2,2,25
883,10000,1,2,2,35
884,34000,1,2,2,27
885,10000,0,2,2,24
886,60000,0,2,1,29
887,78000,1,1,2,27
888,40000,1,1,2,29
889,92000,0,1,2,29
890,2000,0,2,2,23
891,10000,1,2,1,50
892,96000,1,2,1,38
893,36000,1,1,2,24
894,50000,0,1,2,38
895,54000,1,2,2,34
896,40000,0,1,1,37
897,32000,1,1,1,39
898,16000,1,2,1,45
899,26000,0,2,1,44
900,72000,0,1,1,36
901,24000,1,3,1,40
902,24000,0,1,2,29
903,12000,1,2,2,23
904,42000,1,2,1,50
905,42000,1,2,1,29
906,40000,0,2,1,33
907,46000,1,2,1,51
908,4000,0,3,1,23
909,32000,1,3,2,26
910,58000,1,1,1,30
911,16000,1,3,1,26
912,46000,0,1,2,32
913,72000,0,3,1,54
914,68000,1,1,1,30
915,16000,0,2,2,38
916,10000,1,2,2,24
917,6000,1,1,2,24
918,30000,1,2,1,42
919,4000,0,2,2,21
920,4000,0,3,2,22
921,100000,1,2,1,50
922,18000,1,2,1,23
923,10000,0,3,2,46
924,136000,0,1,2,37
925,10000,0,1,1,47
926,20000,1,2,1,40
927,6000,0,2,2,54
928,10000,0,2,2,27
929,12000,0,1,1,33
930,16000,1,2,1,35
931,100000,0,1,1,45
932,14000,1,3,1,32
933,20000,1,3,1,50
934,2000,0,3,2,35
935,18000,0,1,2,26
936,18000,1,2,2,35
937,36000,1,3,2,42
938,70000,1,1,1,52
939,40000,1,1,2,29
940,4000,1,1,2,22
941,20000,0,2,2,30
942,14000,0,3,2,28
943,46000,0,1,2,26
944,36000,1,1,2,28
945,10000,0,1,2,24
946,30000,0,1,2,37
947,76000,0,2,1,50
948,30000,1,3,1,43
949,44000,0,2,2,29
950,16000,1,5,2,27
951,14000,1,2,2,34
952,24000,0,2,2,37
953,36000,1,2,2,32
954,2000,1,2,3,46
955,74000,1,1,1,53
956,4000,1,1,2,26
957,4000,0,1,2,26
958,96000,1,2,1,54
959,10000,0,3,2,26
960,80000,1,2,2,30
961,40000,1,1,2,31
962,72000,0,1,2,34
963,52000,0,3,1,34
964,88000,1,2,2,26
965,100000,0,2,1,43
966,94000,0,2,1,41
967,4000,1,3,1,48
968,42000,1,2,2,24
969,4000,1,3,1,53
970,40000,1,2,1,34
971,50000,1,2,2,36
972,64000,1,1,2,30
973,10000,0,2,2,29
974,40000,1,2,1,34
975,14000,0,2,1,37
976,12000,0,3,2,36
977,2000,1,3,2,22
978,28000,0,2,2,26
979,6000,0,2,2,25
980,38000,0,2,1,49
981,66000,1,2,1,28
982,22000,1,2,2,24
983,54000,0,3,1,47
984,4000,0,2,2,24
985,64000,0,2,2,32
986,86000,0,1,2,31
987,28000,0,2,1,48
988,100000,0,2,1,49
989,16000,0,3,1,45
990,50000,1,1,1,43
991,78000,1,1,2,31
992,20000,1,1,1,35
993,28000,0,1,2,36
994,22000,0,2,1,51
995,34000,0,3,1,48
996,36000,1,2,2,25
997,28000,0,2,1,41
998,4000,1,2,1,49
999,10000,1,2,2,28
1000,32000,1,2,1,38
1001,16000,0,2,1,41
1002,12000,1,3,2,32
1003,14000,1,2,2,26
1004,58000,1,1,2,31
1005,10000,1,3,1,53
1006,40000,1,3,2,49
1007,40000,1,1,1,34
1008,4000,1,2,2,26
1009,40000,0,1,1,38
1010,24000,1,1,2,35
1011,126000,0,1,2,40
1012,60000,1,1,2,34
1013,2000,1,2,2,49
1014,56000,1,1,1,39
1015,26000,0,1,2,30
1016,6000,1,3,1,28
1017,14000,1,3,1,38
1018,16000,0,2,2,29
1019,4000,1,2,1,22
1020,94000,1,2,2,32
1021,48000,1,2,2,30
1022,28000,1,1,2,29
1023,30000,1,1,2,25
1024,24000,0,1,1,46
1025,4000,1,2,1,47
1026,10000,0,3,2,22
1027,36000,1,2,2,27
1028,62000,1,5,1,35
1029,36000,1,2,2,30
1030,54000,1,1,1,42
1031,14000,0,1,2,28
1032,6000,1,3,2,50
1033,10000,1,2,1,54
1034,70000,0,2,1,37
1035,16000,0,3,2,26
1036,12000,1,2,1,31
1037,6000,0,1,1,52
1038,60000,1,1,2,27
1039,10000,1,3,1,22
1040,100000,0,1,2,39
1041,4000,1,2,1,39
1042,44000,0,1,1,39
1043,4000,1,2,2,22
1044,34000,1,1,2,30
1045,40000,1,2,1,26
1046,4000,1,1,2,23
1047,66000,1,1,2,35
1048,36000,1,2,2,24
1049,72000,1,2,1,35
1050,10000,1,1,2,23
1051,20000,1,2,1,25
1052,6000,0,2,1,36
1053,94000,0,1,2,33
1054,60000,1,1,1,36
1055,60000,1,1,1,45
1056,30000,1,2,1,41
1057,44000,1,2,2,25
1058,84000,0,1,2,31
1059,90000,0,3,1,58
1060,6000,0,2,1,38
1061,48000,0,2,1,30
1062,12000,1,1,2,25
1063,6000,1,3,2,24
1064,16000,1,1,2,29
1065,46000,0,3,2,27
1066,40000,0,1,2,31
