ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,sumC
22524,12000,1,2,2,23,0,0,0,0,0,0,9129.6,9370.0,9442.8,3919.0,3841.8,3864.6,387.4,260.2,136.4,138.0,163.2,167.0,5,0.04134471718249733,0.027555386114288136,0.03480479714212809,0.03592066218959862,0.04222946747399472,0.7694434205676375,0.0
22525,10000,1,3,1,22,0,0,0,0,0,0,3744.4,3632.0,3399.4,2630.0,1773.2,1579.8,282.2,238.8,75.8,56.2,64.2,39.4,5,0.07769823788546255,0.07024769076895923,0.0288212927756654,0.031694112339273633,0.04063805545005697,0.2746793084216397,0.0
22526,96000,0,1,1,63,0,0,0,2,2,0,84413.8,86268.4,95886.4,97413.2,94229.0,93992.2,3215.6,11138.6,3400.0,0.0,3600.0,4840.0,5,0.03727436697562491,0.11616454471124164,0.0349028673732102,0.0,0.03830105051270212,1.133266523681524,0.0
22527,16000,1,2,1,36,-1,-1,-1,-1,-1,-1,1221.6,572.2,655.4,663.8,230.0,230.0,572.2,655.8,663.8,230.0,230.0,207.0,0,1.0,1.0006103143118705,1.0,1.0,1.0,0.440088442894804,5.0
22528,66000,1,1,1,31,0,0,2,0,0,0,21175.8,21686.2,21118.8,21179.2,21298.2,21457.8,1852.0,0.0,718.6,820.0,3158.8,0.0,5,0.08539993175383423,0.0,0.033929515751303166,0.038500906179864965,0.14720987240071212,0.0,0.0
22529,10000,0,2,2,41,0,0,0,0,0,0,3803.0,3858.8,4051.8,4054.8,4062.2,3991.4,268.0,261.0,140.0,143.6,144.8,136.8,5,0.06945164299782315,0.06441581519324745,0.03452698036894544,0.035350302791590765,0.03627799769504435,0.7144349279298099,0.0
22530,80000,0,2,1,34,-1,-1,-1,-1,-1,-1,3932.0,1933.2,2373.4,1567.8,2967.4,1591.8,1935.4,2373.4,1567.8,2967.4,1591.8,1142.4,0,1.0011380095178979,1.0,1.0,1.0,1.0,0.547346633703214,5.0
22531,22000,1,1,1,48,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22532,40000,0,3,2,52,0,0,0,0,0,0,22030.2,19906.0,19790.2,20182.8,20629.2,20998.6,713.6,717.0,720.4,769.6,733.8,756.8,5,0.03584848789309756,0.03623005325868359,0.0356937590423529,0.03730634246601904,0.034945186821978606,1.0354640980735552,0.0
22533,6000,1,1,2,23,1,-2,-2,-2,-1,-1,800.0,1129.0,701.6,-5.4,2748.8,1181.2,1129.0,701.6,5.4,2754.2,1182.2,604.8,0,1.0,1.0,-1.0,1.0019644935972059,1.000846596681341,0.5238722195274063,3.0
22534,6000,1,2,2,22,0,0,0,0,0,0,5690.4,5229.0,5342.4,5070.0,3520.6,-156.0,400.0,280.0,0.0,100.0,0.0,312.0,4,0.07649646203863071,0.052410901467505246,0.0,0.028404249275691643,-0.0,2.0,0.0
22535,10000,1,3,1,51,-1,-1,-1,-1,-2,-2,150.4,60.0,1176.0,0.0,0.0,0.0,60.0,1176.0,0.0,0.0,0.0,0.0,0,1.0,1.0,10.0,10.0,10.0,0.0,10.0
22536,10000,0,2,2,23,1,2,2,2,0,0,2026.2,2166.6,4116.6,3999.2,3975.8,3613.0,200.0,2000.0,80.0,140.0,160.0,120.0,5,0.09231053263177329,0.4858378273332361,0.020004000800160033,0.035213038885255794,0.04428452809299751,0.23255813953488372,1.0
22537,34000,1,2,2,27,0,0,0,0,0,0,3853.8,4062.6,4170.4,3512.0,3583.6,1820.0,332.2,240.0,70.2,71.6,36.4,0.0,5,0.08177029488504899,0.057548436600805684,0.01998861047835991,0.019979908471927668,0.02,0.0,0.0
22538,28000,0,2,1,32,0,0,0,0,2,0,17325.4,15628.4,13667.2,12929.6,11663.8,11050.2,691.0,622.0,1000.0,0.0,420.0,520.4,5,0.044214378951140235,0.045510419105595876,0.07734191312956316,0.0,0.03800836183960471,0.9520673252835711,0.0
22539,6000,1,3,2,26,0,0,0,0,0,0,1802.8,2081.2,2285.4,2387.0,2616.8,2841.2,340.0,300.0,200.0,300.0,300.0,300.0,5,0.1633672881030175,0.13126804935678654,0.08378718056137412,0.11464383980434117,0.1055891876671829,1.0416666666666667,1.0
22540,42000,0,3,1,45,2,3,4,4,5,6,23157.0,24580.8,25969.4,27455.4,29106.6,30821.0,2095.6,2095.6,2215.6,2215.6,2335.6,2095.6,5,0.08525353121135194,0.08069497177447303,0.08069815045491961,0.07612019267107804,0.07577950098958502,0.9561963862018616,0.0
22541,58000,0,3,1,47,-1,-1,-1,-1,0,-1,246.8,79.2,79.2,158.4,79.2,84.6,79.2,79.2,158.4,0.0,84.6,73.8,1,1.0,1.0,1.0,0.0,1.0,0.9192825112107623,4.0
22542,74000,0,1,2,50,-2,-2,-2,-2,-2,-2,1218.6,3026.0,1640.8,3079.6,958.4,2690.6,3076.6,1640.8,3082.6,958.4,2690.6,939.8,0,1.0167217448777264,1.0,1.0009741524873361,1.0,1.0,0.41042885841558213,5.0
22543,54000,0,2,2,37,0,0,0,0,0,0,7539.0,6679.4,6106.8,5519.6,5268.8,4928.2,1000.0,400.0,600.0,800.0,600.0,400.0,5,0.14971404617181186,0.06550075325866248,0.10870352924124936,0.15183723048891587,0.12174830566941278,0.5882352941176471,1.0
22544,72000,0,1,2,29,1,-2,-1,-1,-2,-2,0.0,0.0,15.4,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0,10.0,1.0,10.0,10.0,10.0,0.0,10.0
22545,4000,1,2,2,22,0,0,0,0,0,0,3200.2,2524.4,2644.2,2626.0,2806.8,2981.2,242.4,240.2,100.0,300.0,300.0,200.0,5,0.09602281730312154,0.09084032977838288,0.03808073115003808,0.10688328345446771,0.10063061854286864,0.845594452900389,0.0
22546,100000,1,1,1,47,0,0,0,0,0,0,11284.4,22123.2,22068.0,24593.4,21766.8,14012.8,14002.0,6071.4,6000.0,4000.0,10436.6,4000.0,5,0.6329102480653793,0.2751223491027732,0.2439678938251726,0.183766102504732,0.7447904772779174,0.4937052579609973,2.0
22547,72000,1,1,2,32,1,-1,-1,-1,-1,-1,523.2,11415.4,1057.4,13689.0,2776.2,3248.0,11417.4,1059.0,13690.8,2777.8,3250.0,7662.6,0,1.000175201920213,1.0015131454511064,1.0001314924391846,1.0005763273539372,1.000615763546798,1.1900295076875294,5.0
22548,62000,0,1,2,32,0,0,0,0,0,0,11980.2,12429.4,12420.4,13175.0,12077.4,8665.6,2004.0,1206.2,2011.4,1005.6,1012.0,844.6,5,0.16123063060163806,0.09711442465621076,0.15266793168880455,0.08326295394704158,0.11678360413589364,0.5833517515747596,1.0
22549,10000,0,2,1,36,0,0,0,0,-1,-1,9558.0,3622.8,3650.0,-2.8,14.4,131.6,400.0,200.0,400.0,100.0,200.0,4002.2,2,0.11041183614883515,0.0547945205479452,-142.85714285714286,6.944444444444445,1.5197568389057752,15.393076923076922,-134.0
22550,100000,1,1,1,34,-2,-2,-2,-1,-1,-1,82.4,27.6,459.8,250.2,241.2,230.2,27.6,459.8,250.2,241.2,230.2,3163.2,0,1.0,1.0,1.0,1.0,1.0,13.081885856079403,5.0
22551,28000,1,1,2,26,-1,0,-1,-1,-1,-1,2684.8,3600.0,2600.2,1163.6,2701.2,97.4,2000.0,2600.2,1168.2,2701.2,97.4,1400.8,1,0.5555555555555556,1.0,1.003953248539017,1.0,1.0,0.8175557371308511,5.0
22552,20000,0,1,1,47,-1,-1,-1,-1,-1,-1,78.0,294.6,78.0,78.0,78.0,0.0,294.6,78.0,78.0,78.0,0.0,476.0,0,1.0,1.0,1.0,1.0,10.0,4.5024593265228905,10.0
22553,44000,0,1,2,24,0,0,0,-1,-1,-1,21121.4,21783.4,22304.0,1660.6,0.0,17126.4,1000.0,1010.0,1660.6,0.0,17126.4,0.0,2,0.0459065159708769,0.04528335724533716,1.0,10.0,1.0,0.0,10.0
22554,94000,0,2,2,27,2,2,2,2,0,0,59314.6,60664.0,61568.6,95995.6,61029.0,61991.8,2600.0,2200.2,0.0,2096.8,2167.6,2073.4,5,0.04285902677040749,0.035735748417212665,0.0,0.0343574366284881,0.034965914846802316,1.1436798093683118,0.0
22555,22000,1,3,0,31,0,0,0,0,0,0,17997.8,16845.8,15857.6,14663.0,12763.6,12641.6,800.0,1000.0,600.0,600.0,600.0,1790.8,5,0.047489581972954685,0.06306124508122288,0.040919320739275726,0.047008680936412924,0.04746234653841286,2.487222222222222,0.0
22556,60000,1,2,2,35,0,0,0,0,0,0,58323.8,59453.6,41125.8,43165.4,41692.8,42501.6,2403.8,1801.2,3400.0,2400.0,1911.4,3000.0,5,0.040431529798027374,0.043797324307369094,0.0787667900679711,0.057563895924476166,0.044972424567545695,1.2587694270081569,0.0
22557,70000,0,3,1,44,-1,-1,-1,-1,-1,-2,653.0,537.2,372.8,113.8,0.0,0.0,537.2,372.8,113.8,0.0,0.0,0.0,0,1.0,1.0,1.0,10.0,10.0,0.0,10.0
22558,10000,1,1,2,24,0,0,0,0,0,0,7016.8,7159.2,6187.4,3884.0,2077.0,261.6,418.0,400.4,200.4,47.6,202.2,77.8,5,0.058386411889596604,0.06471215696415296,0.05159629248197734,0.022917669715936447,0.7729357798165136,0.3066372379000473,1.0
22559,12000,1,2,1,33,0,0,0,0,0,0,11640.6,7273.4,4186.8,4138.8,4035.0,3884.2,301.2,259.6,200.0,144.2,162.2,119.8,5,0.04141116946682432,0.06200439476449795,0.04832318546438581,0.03573729863692689,0.041758920755882806,0.5612818590704647,0.0
22560,48000,1,3,1,50,0,0,0,0,0,0,46841.0,46333.8,42928.4,41528.4,42075.0,42938.8,2023.2,1830.0,1601.6,1600.0,1601.8,1542.8,5,0.04366574725146653,0.04262912197985483,0.03856637867098178,0.038027332144979206,0.03730425629034812,0.8911119839197839,0.0
22561,10000,1,2,2,27,0,0,0,0,0,0,5331.0,5544.8,5735.2,5598.0,5758.0,5879.8,360.0,350.0,180.0,240.0,240.0,220.0,5,0.06492569614774203,0.06102664248849212,0.03215434083601286,0.04168113928447378,0.040817714888261504,0.8029197080291971,0.0
22562,50000,1,2,1,75,0,-1,-1,-1,-1,-1,10574.8,326.2,307.2,202.0,1114.4,158.8,326.2,307.2,202.0,1114.4,158.8,236.8,0,1.0,1.0,1.0,1.0,1.0,0.5615100066394764,5.0
22563,10000,1,2,2,26,1,2,2,0,0,0,10173.4,10297.2,9773.8,6023.0,5905.4,5999.6,342.0,27.2,241.2,400.4,401.0,600.6,5,0.033212912247989744,0.0027829503366142137,0.04004648846089988,0.0678023503911674,0.06683778918594573,2.12707182320442,0.0
22564,80000,1,2,2,29,-1,0,-1,-1,-1,-1,3906.4,743.8,290.6,988.8,379.2,497.2,625.4,293.8,993.6,381.0,498.8,172.4,1,0.8408174240387201,1.011011699931177,1.0048543689320388,1.004746835443038,1.003218020917136,0.3086729212919859,5.0
22565,20000,1,3,1,43,0,0,-2,-2,-2,-2,12434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22566,32000,1,1,1,38,-1,-1,-1,-1,2,-1,894.6,932.8,1193.8,3788.2,3315.6,2530.4,932.8,1193.8,3788.2,0.0,2530.4,383.2,1,1.0,1.0,1.0,0.0,1.0,0.2268744375503245,4.0
22567,2000,0,3,2,23,0,0,0,0,0,2,1394.8,1567.6,1800.4,1836.4,1945.8,1882.2,226.8,259.6,95.6,169.4,0.0,35.0,5,0.1446797652462363,0.14419017996000888,0.05205837508168155,0.08705930722581971,0.0,0.2328985892999734,0.0
22568,20000,0,3,2,32,0,0,0,0,0,0,14000.6,6309.0,4194.8,3942.6,3969.6,3625.2,407.0,400.8,123.2,401.4,201.8,403.0,5,0.06451101600887621,0.09554686755030037,0.031248414751686705,0.10111850060459492,0.05566589429548715,1.3133880849954374,0.0
22569,72000,1,2,2,28,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22570,10000,0,3,1,33,0,0,0,0,0,0,10171.8,10092.4,10130.8,4009.2,4013.4,3940.6,401.4,439.8,138.2,141.4,140.6,139.4,5,0.03977250208077365,0.043412168831681607,0.03447071735009478,0.03523197289081577,0.03567984570877531,0.5525606469002695,0.0
22571,36000,1,3,2,30,0,0,0,0,0,0,32787.0,30630.4,29406.4,24439.2,20738.4,14040.8,1544.4,1218.2,712.6,721.0,600.0,642.2,5,0.05042049728374425,0.041426356167364925,0.02915807391403974,0.034766423639239284,0.04273260782861376,0.6694883449397439,0.0
22572,42000,0,1,2,38,2,0,0,0,0,0,12100.4,12560.8,12553.8,12536.6,12732.6,9309.8,655.2,405.2,400.0,400.0,400.0,500.4,5,0.052162282657155605,0.032277079450047,0.03190657754096007,0.03141542183057663,0.04296547723903844,1.106883737391612,0.0
22573,56000,0,1,2,33,-1,-1,-1,-1,-1,-1,179.6,179.6,65.0,179.6,65.0,-67920.6,179.6,65.0,179.6,65.0,0.0,69058.6,0,1.0,1.0,1.0,1.0,-0.0,705.8319705641866,4.0
22574,26000,0,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22575,56000,1,1,1,36,0,0,0,0,0,0,11796.6,12157.6,12645.0,5940.2,6034.4,6154.2,551.0,692.6,260.0,220.0,220.0,400.0,5,0.04532144502204382,0.05477263740608936,0.04376957004814653,0.03645764284767334,0.035747944493191644,1.029018316526034,0.0
22576,10000,1,3,1,40,0,0,0,0,0,0,9988.2,10242.6,2420.8,2579.6,2737.4,2891.6,480.0,241.2,200.0,200.0,200.0,200.0,5,0.04686310116571964,0.09963648380700593,0.07753140021708792,0.07306202966318404,0.06916585973163647,0.7568876778686042,0.0
22577,100000,1,2,1,36,-1,-1,-1,-1,-1,-1,2096.6,4791.2,0.0,1700.0,918.0,0.0,4792.4,0.0,1700.0,918.0,0.0,0.0,0,1.0002504591751544,10.0,1.0,1.0,10.0,0.0,10.0
22578,80000,1,2,1,38,-1,0,-1,-1,0,-1,739.4,720.0,270.8,1064.4,1020.6,415.4,200.0,270.8,1064.4,1.2,477.2,1817.0,2,0.2777777777777778,1.0,1.0,0.0011757789535567313,1.1487722676937893,4.511819626539531,3.0
22579,20000,0,1,2,27,0,0,0,0,0,0,11146.8,10511.4,6683.0,5755.2,3516.0,1288.2,326.2,257.2,40.0,129.0,181.8,40.0,5,0.031032973723766576,0.038485710010474336,0.006950236308034473,0.03668941979522184,0.14112715416860735,0.2140869192892314,0.0
22580,10000,1,3,1,46,3,2,2,0,0,0,9704.4,10191.0,5903.2,5948.4,5979.6,4976.6,750.8,0.2,214.0,206.0,172.6,130.8,5,0.07367284859189481,3.387992952974658e-05,0.03597606078945599,0.03445046491404107,0.034682313225897196,0.4867520095266449,0.0
22581,10000,0,2,2,24,-1,0,0,0,0,0,279.8,488.2,773.0,1495.2,1676.8,1617.0,214.0,300.0,733.2,495.4,261.2,200.0,5,0.4383449405981155,0.38809831824062097,0.49036918138041735,0.2954437022900763,0.16153370439084724,0.4990518015770037,2.0
22582,44000,1,2,1,41,-1,2,2,-1,2,-1,130.0,130.0,65.0,190.0,95.0,65.0,65.0,0.0,190.0,0.0,65.0,65.0,3,0.5,0.0,1.0,0.0,1.0,1.015625,2.0
22583,40000,1,2,1,37,1,-1,2,-1,-1,-1,-35.8,101.0,37.8,1354.6,4641.8,3378.6,200.0,0.0,1380.0,4800.0,3400.0,500.0,1,1.9801980198019802,0.0,1.018750922781633,1.0340816062734284,1.0063339844906174,0.2556237218813906,5.0
22584,4000,0,1,2,27,0,0,0,0,0,0,4114.2,3817.8,3931.6,3890.6,3821.6,3773.6,264.6,320.0,166.0,140.0,134.8,75.2,5,0.06930693069306931,0.08139179977617256,0.042666940831748316,0.03663387063010257,0.03572185711257155,0.36668617125024383,0.0
22585,10000,1,2,1,31,0,0,0,0,0,0,9302.4,9543.2,9935.0,6185.8,6015.6,5834.0,394.8,881.2,212.2,214.6,209.2,209.4,5,0.04136977114594685,0.08869652742828385,0.034304374535225834,0.035673914488995276,0.03585875899897154,0.5475941422594143,0.0
22586,40000,1,1,2,29,-1,2,-1,-1,-1,2,478.6,36.6,969.4,4036.6,4963.0,4849.6,0.0,974.4,4036.6,1000.0,0.0,200.0,3,0.0,1.0051578295853105,1.0,0.20149103364900262,0.0,0.16636167027116952,2.0
22587,20000,1,2,2,26,-1,-1,-1,0,0,0,274.0,838.4,831.8,708.4,396.0,796.0,842.0,831.8,200.0,216.0,400.0,305.0,3,1.004293893129771,1.0,0.282326369282891,0.5454545454545454,0.5025125628140703,0.6124989959032854,3.0
22588,18000,0,1,2,26,0,0,-1,0,0,-1,7825.6,4094.6,388.0,388.0,0.0,4620.2,308.2,840.0,0.0,0.0,4620.2,600.0,2,0.07526986763053778,2.1649484536082473,0.0,10.0,1.0,0.5200748907842729,10.0
22589,10000,0,3,1,58,2,2,2,0,0,2,3179.8,3744.0,3624.4,3706.0,3817.8,3771.2,680.0,0.0,200.0,200.2,126.8,127.6,5,0.18162393162393162,0.0,0.053966540744738264,0.05243857719105243,0.03362324989393296,0.528583264291632,0.0
22590,22000,1,4,2,24,0,0,0,0,0,0,16751.0,15486.2,15808.8,16126.2,16466.6,16892.4,600.0,580.0,580.0,600.0,700.0,800.0,5,0.038744172230760286,0.03668842669905369,0.03596631568503429,0.03643739448337848,0.04143875352229404,1.3071895424836601,0.0
22591,10000,0,2,2,32,4,3,2,0,0,0,9146.8,8948.2,8712.4,8807.8,9001.6,5155.0,0.0,0.0,252.4,271.6,255.0,318.0,5,0.0,0.0,0.028656418174799612,0.03017241379310345,0.049466537342386034,2.041078305519897,0.0
22592,10000,1,2,1,61,0,0,0,0,0,0,9433.2,9879.2,10095.2,4663.8,4634.2,4954.8,600.0,447.4,195.0,200.0,400.0,207.8,5,0.06073366264474856,0.044318091766384016,0.04181139843046443,0.04315739501963662,0.08072979736820861,0.5639383412939645,0.0
22593,36000,0,2,1,36,2,2,-2,-2,-2,-2,16707.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22594,36000,0,1,1,46,0,0,0,0,0,0,34653.4,34918.0,35046.6,21257.6,5617.8,35743.8,1620.0,1059.8,661.0,1008.0,32143.8,1400.0,5,0.046394409760009164,0.030239737948902317,0.03109476140298058,0.1794296699775713,0.8992832323367967,0.1918197113935428,1.0
22595,42000,0,1,2,30,0,0,0,0,0,0,13987.4,14381.2,8661.6,8916.8,9568.4,9977.6,700.0,600.0,400.0,800.0,600.0,2000.0,5,0.04867465858203766,0.06927126627874758,0.04485914229319936,0.08360854479327788,0.06013470173187941,3.225806451612903,0.0
22596,28000,0,3,1,36,0,0,0,0,0,0,20118.8,15674.4,18300.4,18171.8,17723.2,17690.0,600.0,6000.0,800.0,800.0,680.0,660.0,5,0.0382789771857296,0.32786168608336425,0.04402425736580856,0.04513857542655954,0.03843979649519502,0.37162162162162166,0.0
22597,16000,1,1,2,29,1,-1,-1,-2,-2,-2,0.0,16000.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10.0,10.0,10.0,10.0,0.0,10.0
22598,70000,0,1,1,38,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
22599,72000,0,1,1,51,-1,-1,-1,-2,-2,-2,7600.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10.0,10.0,10.0,10.0,0.0,10.0
22600,42000,1,2,1,30,0,0,0,0,0,0,20940.2,21226.8,21684.6,18228.6,16546.6,14825.0,800.4,1000.0,700.0,600.0,540.0,1000.0,5,0.037707049578834306,0.04611567656309086,0.03840119372853648,0.03626122587117595,0.03642495784148398,1.3734754422590922,0.0
22601,30000,0,1,2,41,-1,-1,-1,-1,-1,2,292.8,416.8,76.8,0.0,468.8,164.4,418.2,76.8,0.0,468.8,0.0,94.4,1,1.0033589251439539,1.0,10.0,1.0,0.0,0.4897281593691638,10.0
22602,24000,1,2,1,25,0,0,0,-2,-2,-2,5295.2,4278.6,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,0.28046557285093254,10.0,10.0,10.0,10.0,0.0,10.0
22603,12000,1,1,2,23,1,2,2,2,2,2,5866.4,5715.4,6161.0,6320.2,6469.8,6593.0,0.0,541.8,320.0,280.0,260.0,240.0,5,0.0,0.08794026943677974,0.050631309135786846,0.04327799931991715,0.03943576520552101,0.85604223141675,0.0
