,ID,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
34,35,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,0,-1,-1,0,0,-2,892.6,606.8,234.0,234.0,0.0,0.0,202.6,234.0,0.0,0.0,0.0,0.0
36,37,-1,-1,-1,-1,-1,-1,4480.2,4308.0,3026.8,6403.6,2369.8,2374.6,4308.0,3027.6,4935.4,2370.2,2375.0,1650.2
37,38,0,0,0,0,0,0,3489.4,3695.8,3895.2,3973.0,4096.0,4012.6,263.6,263.0,140.8,185.6,182.4,213.8
38,39,0,0,0,0,0,0,12311.8,10232.6,8764.8,7923.8,7152.4,6651.6,400.0,321.2,300.0,400.0,300.0,200.0
39,40,-1,-2,-2,-2,-2,-2,2693.0,1573.4,1520.0,2237.0,708.8,92.8,1575.0,1520.0,2237.0,708.8,92.8,0.0
40,41,1,2,0,0,0,0,8280.4,8348.4,8551.6,8702.0,8884.0,9063.8,260.0,402.0,352.4,352.4,358.0,324.4
41,42,-1,-2,-2,-2,-2,-2,381.0,728.0,32.4,0.0,30.2,506.0,728.0,32.4,0.0,30.2,506.0,0.0
42,43,0,0,-1,-1,-1,-1,3277.2,3158.6,1688.2,1428.4,-135.8,1664.2,1700.0,300.0,1500.0,135.8,1800.0,400.0
43,44,0,0,0,0,0,0,35177.2,34688.0,34461.6,33721.6,26440.4,25983.6,1616.6,1459.2,1050.6,962.8,963.2,760.0
44,45,0,0,0,0,0,0,80026.8,79771.4,80841.0,72039.8,71331.2,72817.8,3400.0,3005.8,6000.0,2400.0,2400.0,4600.0
45,46,0,0,0,0,0,0,4569.6,4727.6,3775.6,2987.4,2765.4,3114.2,303.2,260.0,200.0,200.0,400.0,400.0
46,47,0,0,0,0,-1,-1,14160.0,14412.0,13987.6,3303.6,2819.2,166.0,805.0,419.0,200.0,400.0,600.0,0.0
47,48,0,-1,0,-2,-2,-2,5743.6,5833.2,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0
48,49,-1,-1,-2,-2,-1,-1,19.8,0.0,0.0,0.0,470.6,0.0,0.0,0.0,0.0,470.6,0.0,0.0
49,50,-2,-2,-1,-1,2,2,30503.8,29750.2,28815.2,1634.8,1639.6,1583.6,0.0,0.0,1644.4,60.0,0.0,200.0
50,51,-1,-1,-1,-1,-1,-1,60.0,60.0,231.8,456.0,60.0,850.0,60.0,231.8,456.0,60.0,850.0,181.8
51,52,-1,-2,-2,-1,2,-1,-38.0,-1970.0,-1970.0,2062.2,2032.2,1463.8,0.0,0.0,4032.2,0.0,1463.8,2779.8
52,53,2,0,0,0,0,0,3713.0,3440.8,3457.0,3617.0,2241.0,1196.4,0.0,240.0,200.0,100.0,200.0,0.0
53,54,2,2,2,2,2,2,11653.4,11849.2,12036.8,11724.4,12461.4,12705.2,500.0,500.0,0.0,960.0,480.0,320.0
54,55,-1,-1,-1,-1,2,-1,1815.2,1157.4,-136.8,1049.4,769.6,630.2,1163.6,3.0,1820.4,3.4,633.0,279.0
55,56,-1,-2,-1,-1,-1,-1,0.0,0.0,631.0,0.0,471.8,0.0,0.0,631.0,0.0,471.8,0.0,0.0
56,57,0,0,2,0,0,0,2923.8,3443.2,3328.4,3395.2,3466.4,3708.6,570.0,0.0,122.0,126.0,300.0,0.0
57,58,-1,0,0,0,0,0,8567.6,7445.0,7217.4,1927.2,1918.0,2006.0,351.8,355.8,64.0,100.0,200.0,200.0
58,59,-1,-1,-1,-1,-1,-1,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2
59,60,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61,0,0,0,0,0,0,33050.8,31556.8,32540.4,13984.6,5854.2,5977.8,1280.0,1513.2,600.0,192.0,200.0,600.0
61,62,0,0,0,0,-1,-1,4682.2,5559.2,6080.0,6620.0,36000.0,39.2,959.2,680.0,620.0,29380.0,39.2,592.6
62,63,0,0,2,0,0,0,26319.0,27812.0,25363.8,20886.0,20998.0,18811.6,2140.0,0.6,610.0,600.0,640.0,560.0
63,64,0,0,0,0,0,0,9781.8,9572.6,4297.8,4082.8,3868.4,3896.4,335.2,260.4,140.0,139.8,169.8,165.2
64,65,0,0,0,0,0,0,26005.6,21561.6,14386.8,23683.6,23681.4,24083.6,880.0,709.4,16000.0,900.0,960.0,900.0
65,66,0,0,0,0,-1,-1,765.2,950.2,1320.8,1720.8,1414.4,153.2,229.4,400.0,400.0,0.0,153.2,460.6
66,67,0,0,-1,-1,-1,-1,16262.6,23573.2,3548.0,266.0,1419.0,238.0,8000.0,1000.0,266.0,1419.0,238.0,418.0
67,68,2,2,0,0,0,2,1716.6,1660.6,1930.2,2097.6,2462.8,2394.0,0.0,330.2,200.0,400.0,0.0,300.0
68,69,-1,-1,-1,0,0,-2,1504.8,0.0,793.6,773.6,0.0,0.0,0.0,793.6,0.0,0.0,0.0,0.0
69,70,-1,-2,-2,-2,-2,-2,-400.0,1111.0,0.0,0.0,0.0,0.0,1511.0,0.0,0.0,0.0,0.0,0.0
70,71,-1,-1,-1,-1,-1,-2,176.0,320.4,168.0,168.0,0.0,0.0,320.4,168.0,168.0,0.0,0.0,1547.2
71,72,0,0,0,0,0,0,16745.0,17199.2,17530.6,7113.0,6188.4,6167.0,724.2,719.4,235.8,222.4,220.8,228.6
72,73,-1,-1,-1,-1,-1,0,793.4,1664.4,678.8,1290.2,5274.0,1991.2,1667.8,678.8,2580.4,5400.0,0.0,13795.6
73,74,0,0,0,0,0,0,17201.8,17221.6,17801.2,17955.0,17545.0,8157.6,806.2,2001.2,653.2,808.0,339.6,160.0
74,75,0,0,0,0,-1,-1,3594.6,3873.4,3911.8,3648.0,3585.6,30.0,339.8,292.0,125.2,350.0,30.0,0.0
75,76,-1,-2,-2,-2,-2,-2,134.4,2042.4,170.0,83.0,20.0,286.0,2042.4,170.0,83.0,20.0,286.0,0.0
76,77,-1,-2,-1,0,0,0,-16.2,-60.6,6495.0,6578.2,6712.8,6811.2,44.6,6635.6,234.2,239.4,250.0,1000.0
77,78,0,0,0,0,0,0,8939.6,8450.8,7669.4,6499.2,4695.4,4818.8,353.4,272.4,200.4,168.0,199.0,180.8
78,79,2,2,2,2,2,0,11337.0,11041.6,11835.0,12043.6,11089.4,11061.0,0.0,1000.0,502.2,1.2,600.0,600.0
79,80,-1,-1,-2,-2,-2,-1,1116.0,0.0,0.0,0.0,0.0,5305.8,0.0,0.0,0.0,0.0,5305.8,400.0
80,81,-1,-1,-1,-1,-1,-1,142.6,454.4,144.4,173.4,230.0,1052.6,454.4,144.4,173.4,230.0,1052.6,1002.2
81,82,0,0,-1,-1,-1,-1,34287.6,35676.4,7988.0,24096.6,8825.4,25313.6,2181.6,0.0,26731.4,913.2,26768.2,959.2
82,83,-1,-2,-2,-2,-2,-2,-20.6,-20.6,-20.6,-20.6,-20.6,-20.6,0.0,0.0,0.0,0.0,0.0,0.0
83,84,0,0,2,0,0,0,2648.8,2944.4,3036.2,3185.6,3334.2,3478.6,400.0,200.0,200.0,200.0,200.0,200.0
84,85,2,2,2,2,2,3,27134.6,27706.4,26962.6,28880.2,30434.8,29883.0,1300.0,0.0,2850.8,2970.0,0.0,1000.0
85,86,0,0,0,0,0,0,10425.6,10538.4,10895.4,11215.2,12020.0,11942.6,400.0,535.4,615.2,1016.0,600.0,406.6
86,87,-1,2,0,0,3,2,3639.8,3523.6,3726.2,4263.8,4138.4,4240.2,0.0,262.4,600.0,0.0,200.0,200.0
87,88,-1,-1,-1,-1,-1,-1,65.2,65.2,65.2,1135.2,95.2,65.2,65.2,65.2,1135.2,95.2,65.2,105.2
88,89,2,0,0,0,0,0,2805.8,3098.6,3326.0,3411.0,3525.8,3637.2,400.0,340.0,200.0,200.0,200.0,200.0
89,90,0,0,0,-1,-1,-1,10050.8,10289.0,10603.0,10495.8,261.4,240.6,400.0,600.0,600.0,261.4,240.6,112.6
90,91,2,2,2,3,2,2,9200.8,9195.2,9790.6,9770.2,9863.6,10228.6,200.0,807.0,200.0,280.0,560.0,0.0
91,92,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,93,2,0,0,0,0,0,60998.2,62248.6,61262.8,51722.0,49298.2,39777.8,2603.8,2225.6,1681.4,1719.8,1366.6,1197.4
93,94,0,0,0,0,0,0,3823.0,3792.4,3859.6,3875.6,3943.4,3126.0,280.8,226.0,120.0,172.2,62.6,0.0
94,95,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,96,0,0,0,0,0,0,32747.2,23284.4,19855.6,19153.2,19550.6,19185.4,931.0,538.0,413.4,428.4,443.4,200.0
96,97,0,0,0,0,0,0,669.4,779.8,900.6,1069.4,1275.0,1415.4,200.0,213.2,260.0,300.0,240.0,26.8
97,98,3,2,2,0,0,0,12104.2,12290.0,11448.8,5770.6,5902.0,5309.4,500.8,1.4,240.0,240.0,220.0,300.0
98,99,-1,-1,-1,0,0,-1,19.0,524.4,660.2,632.8,72.0,347.4,524.4,660.2,0.0,72.0,347.4,184.8
99,100,0,0,0,0,0,0,50690.8,49548.6,45809.8,44190.2,42121.2,37621.6,1948.8,1910.6,1520.6,1566.0,1450.6,2265.2
100,101,0,0,0,0,0,0,45477.8,45743.8,45928.8,45517.4,45555.0,45640.6,1642.0,1619.0,1605.0,1635.0,1678.2,1640.0
101,102,0,0,0,2,2,2,2134.8,2407.0,2736.2,2653.8,2831.6,2778.2,300.0,360.0,0.0,200.0,0.0,65.4
102,103,0,0,0,0,0,0,3488.8,3868.4,4400.0,4922.8,5440.0,6045.8,500.0,600.0,600.0,600.0,700.0,1000.0
103,104,0,0,0,0,0,0,1433.2,1599.4,1758.4,1837.8,880.8,1141.6,300.0,300.0,200.0,100.0,400.0,109.2
104,105,0,0,0,0,0,0,10160.2,10028.6,9917.2,3886.0,3875.0,3799.0,472.0,340.0,200.0,180.0,174.0,426.0
105,106,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,-1,-1,-1,-1,-1,-1,366.4,0.0,166.4,66.4,83.2,83.2,0.0,83.2,66.4,100.0,700.0,166.4
107,108,-1,-2,-2,-2,-2,-2,2431.8,2000.0,2000.0,2000.0,1996.6,3169.2,2000.0,2000.0,2000.0,1996.6,3172.6,2000.0
108,109,-1,-1,-1,-1,0,-1,239.8,3117.2,68.8,468.0,1340.4,67.8,3117.2,68.8,468.0,940.4,67.8,66.0
109,110,0,0,0,0,0,3,999.8,1182.6,1463.0,1839.0,2124.8,2027.6,200.0,300.0,400.0,316.6,220.0,0.0
110,111,1,2,0,0,0,0,39447.2,35238.4,18613.8,27133.6,26446.6,11975.0,1600.0,1000.0,11100.0,1000.0,1000.0,1700.0
111,112,1,2,3,2,0,0,1833.6,2104.4,2041.0,1979.6,2024.6,2406.8,330.0,0.0,0.0,75.8,418.2,0.2
112,113,-1,-2,-1,-1,-1,-1,-220.0,-220.0,4280.0,0.0,193.8,173.8,0.0,4500.0,0.0,193.8,200.0,0.0
113,114,0,0,0,0,0,0,8488.8,11148.8,8695.2,8217.4,8390.2,6365.2,6000.0,600.0,1200.0,1600.0,400.0,2800.0
114,115,-1,-1,-1,-1,-1,-2,41.6,581.2,200.0,126.0,0.0,0.0,581.2,200.0,126.0,0.0,0.0,0.0
115,116,0,0,0,0,0,0,41755.0,36470.0,26451.4,20356.6,35429.0,33862.2,1608.4,1340.0,1027.4,20000.0,1400.0,1264.2
116,117,0,0,0,0,0,0,4788.8,5609.8,6414.6,8625.8,9417.2,9739.8,1000.0,1000.0,2377.0,1000.0,600.0,1100.8
117,118,0,0,0,0,0,0,21084.0,20574.0,17928.6,18187.6,18501.0,18806.2,800.0,650.0,650.0,700.0,712.0,1000.0
118,119,0,0,0,0,0,0,39206.2,39228.6,37904.8,33432.6,29395.0,24464.8,1460.0,1421.6,1536.0,1240.0,1000.0,900.0
119,120,3,2,0,0,0,0,2570.8,2472.4,2689.4,2685.4,2742.2,2816.6,0.0,320.0,100.0,100.0,120.0,120.0
120,121,2,2,2,2,2,0,4871.4,5490.6,5343.6,5633.6,5515.8,5664.2,700.0,0.0,440.0,0.0,240.0,250.0
121,122,-1,-1,-1,-1,-1,2,78.0,78.0,156.0,43.2,216.0,108.0,78.0,156.0,43.2,172.8,0.0,78.0
122,123,0,0,2,0,0,0,28244.6,31371.6,30368.2,30560.6,31199.4,32044.0,3598.8,0.0,1093.8,1131.2,1362.2,784.0
123,124,0,0,0,0,0,0,4229.6,4760.6,4981.6,5206.8,5331.0,5551.2,600.0,300.0,300.0,200.0,300.0,300.0
124,125,0,0,0,0,0,0,20328.0,20959.0,20971.0,14947.4,15211.6,15450.8,1100.0,780.0,600.0,580.0,600.0,560.0
125,126,-1,2,2,0,-1,0,20469.8,19369.4,11764.8,5867.2,4595.8,-49.2,633.2,0.0,266.0,279.6,2.4,10000.0
126,127,0,0,0,0,0,2,14422.4,14770.8,15105.2,15463.4,17170.4,17658.0,700.0,700.0,730.4,2000.0,800.0,0.0
127,128,0,0,0,0,0,0,5608.0,5818.4,5873.2,5547.4,5663.6,5761.2,302.0,288.4,196.4,203.4,255.4,113.4
128,129,-1,-1,-1,-1,-1,-1,137.6,656.0,0.0,868.0,534.4,160.0,657.6,0.0,868.0,534.4,160.0,149.2
129,130,-1,0,0,0,0,0,1713.4,3054.6,2330.0,1491.4,623.0,1545.0,3000.0,200.0,29.8,0.0,1000.0,2000.0
130,131,-1,-2,-2,-2,-2,-2,-141.8,-141.8,-141.8,-579.6,-654.4,-654.4,0.0,0.0,0.0,0.0,0.0,0.0
131,132,1,2,2,2,2,3,12923.4,13195.6,13456.4,13711.4,14559.2,14269.0,600.0,600.0,600.0,1100.0,0.0,0.0
132,133,-1,-1,0,0,0,0,1237.4,20.0,120.0,287.6,383.8,1076.0,100.8,100.0,200.0,100.0,700.0,0.0
133,134,1,2,0,0,0,2,9772.0,9560.2,9672.6,6044.2,4575.4,4472.2,0.0,300.0,200.0,400.0,0.0,400.0
134,135,0,0,2,0,0,0,15576.6,16362.2,16050.0,12293.4,2132.4,2297.2,1160.0,200.0,120.0,80.0,200.0,0.0
135,136,-1,-1,2,0,-1,-1,2442.4,5315.6,5066.2,5321.0,5255.8,251.2,3000.0,0.0,400.0,0.0,251.2,13187.0
136,137,-1,-1,0,0,0,0,9921.6,2482.4,2974.6,3472.8,3554.0,3492.0,2500.0,1300.0,600.0,400.0,600.0,400.0
137,138,0,0,0,0,0,0,11604.8,11578.2,9767.8,3794.2,3864.6,3879.0,500.0,320.0,600.0,200.0,147.4,400.0
138,139,0,0,0,0,-1,-1,2128.4,2335.4,2614.0,2456.0,323.0,324.0,240.0,318.6,120.2,27.0,364.8,0.0
139,140,1,2,0,0,2,0,2896.6,2792.2,3064.6,3253.6,3173.6,3289.6,0.0,320.0,300.0,0.0,200.0,300.0
140,141,2,2,2,2,2,2,39887.2,40589.4,38787.2,39237.2,40032.4,37983.0,1642.8,1400.0,1360.0,1426.8,0.0,1367.2
141,142,-1,-1,0,0,0,0,0.0,1079.2,2054.0,2715.2,2772.8,2927.2,1079.2,1000.0,700.0,100.2,200.0,400.0
142,143,1,5,4,4,3,2,4340.6,4217.4,4292.2,4167.0,4043.8,4097.4,0.0,200.0,0.0,0.0,152.0,0.0
143,144,2,0,0,0,2,0,3925.0,4069.4,4333.8,4601.0,4499.8,4574.6,268.4,332.8,400.0,0.0,180.0,169.2
144,145,-1,-1,-1,-2,-1,0,2277.2,39.8,0.0,0.0,3445.4,3408.4,39.8,0.0,0.0,3445.4,68.2,1022.8
145,146,-1,-1,2,0,0,-2,2934.0,4417.4,4256.4,2040.0,0.0,0.0,7573.4,0.0,40.0,0.0,0.0,0.0
146,147,1,2,2,2,2,2,7233.2,7437.6,7536.0,7692.4,7845.6,8007.0,380.0,280.0,340.0,306.4,320.0,0.0
147,148,-1,-2,-2,-2,-2,-2,0.0,0.0,0.0,23.2,0.0,300.0,0.0,0.0,23.2,0.0,300.0,0.0
148,149,0,0,0,-1,-1,0,3710.6,3889.2,3813.0,1666.4,3773.6,3849.4,300.0,206.4,108.2,4000.0,138.6,200.0
149,150,1,2,2,0,-1,0,5802.0,5851.2,5624.4,5967.2,326.0,0.0,200.0,17.0,342.8,20.8,0.0,0.0
150,151,-1,-2,-2,-2,-2,-2,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,152,0,0,2,0,0,2,5424.6,5459.8,3597.0,4045.0,5481.4,2166.6,5000.0,0.0,600.0,1560.0,0.0,500.0
152,153,0,0,0,0,0,0,21462.8,22115.6,22747.2,23200.0,23826.2,24427.0,1000.0,1000.0,830.4,1000.0,1000.0,1000.0
153,154,0,0,0,0,0,0,45286.0,46375.6,46838.4,38042.2,34711.4,29302.2,1820.0,1460.0,1160.0,1120.0,1120.0,820.0
154,155,-1,-1,0,0,0,0,45.4,4070.2,4047.4,3867.8,3890.0,3867.4,4471.8,261.0,251.6,291.8,691.4,340.0
155,156,-1,-1,-1,-1,-1,-1,617.6,317.2,68.6,752.6,175.4,0.0,317.2,68.6,752.6,175.4,0.0,83.8
156,157,0,0,0,0,0,0,16325.0,16310.8,15919.8,9910.4,9901.8,9913.6,640.0,600.0,407.6,400.0,360.0,360.0
157,158,-1,-1,-1,-1,-2,-2,1774.4,867.4,570.8,338.0,0.0,341.8,869.0,570.8,340.4,0.0,341.8,51.6
158,159,-1,-2,-1,0,-1,-1,0.0,0.0,50.0,24.6,157.8,244.4,0.0,50.0,0.0,157.8,244.4,1923.2
159,160,0,0,0,0,0,0,7651.4,7780.2,7620.6,7241.4,6627.6,6267.8,340.0,300.8,240.0,300.0,300.0,200.0
160,161,0,0,0,2,0,0,5669.4,5621.6,3677.6,2598.4,1547.2,1606.4,607.2,461.8,0.0,200.0,400.0,29.6
161,162,-1,-1,-1,-1,-1,2,78.0,78.0,78.0,48.0,264.0,156.0,78.0,78.0,48.0,294.0,0.0,0.0
162,163,-1,-2,-2,-2,-2,-2,-189.2,-189.2,-189.2,-189.2,-189.2,-189.2,0.0,0.0,0.0,0.0,0.0,0.0
163,164,2,0,0,0,0,0,15855.6,15700.2,15706.8,16003.2,15247.0,15649.0,620.0,700.0,680.0,600.0,700.0,600.0
164,165,-1,-1,-1,-1,-2,-2,284.8,908.4,25.2,0.0,0.0,0.0,908.4,25.2,0.0,0.0,0.0,0.0
165,166,2,2,2,0,0,0,21033.4,23093.6,22431.4,22938.0,23569.0,24047.6,2400.0,0.0,1180.0,1000.0,900.0,940.0
166,167,0,0,0,0,0,0,67039.2,66990.8,67105.4,66772.0,67152.0,66024.2,2477.6,2475.6,2423.2,2490.0,2442.6,2335.6
167,168,0,0,0,0,0,0,18330.6,18807.4,21719.4,13182.6,8761.0,6652.6,2008.4,3766.4,423.4,415.2,1009.0,750.8
168,169,1,3,2,0,0,0,10525.2,10307.4,9841.0,6078.8,6049.8,5991.4,0.0,4.8,300.0,200.0,240.2,6118.4
169,170,0,0,0,0,0,0,26074.0,26239.8,25780.0,25102.8,25456.0,25767.8,1306.0,972.0,4500.0,964.0,975.4,992.4
170,171,0,0,0,0,0,0,3291.0,3302.2,3780.4,3753.6,3730.0,3835.0,321.8,600.0,132.6,135.2,166.8,156.4
171,172,2,0,0,0,0,0,9951.6,9691.2,8823.2,4249.4,4013.2,3771.6,480.2,450.8,400.8,140.8,141.4,200.8
172,173,1,2,0,0,-1,0,3830.8,3633.0,3446.6,1526.0,346.0,0.0,0.0,266.6,100.0,20.0,0.0,640.0
173,174,1,2,0,0,2,0,4047.0,3426.4,3371.2,3375.0,2690.8,2020.8,0.0,240.0,200.0,0.0,200.0,2000.0
174,175,-1,0,-2,-1,-1,0,20560.0,0.0,0.0,524.8,9113.4,9311.4,0.0,0.0,524.8,9113.4,349.4,400.0
175,176,2,0,0,0,2,2,25960.2,26276.6,26875.8,28464.6,28024.0,30010.4,1000.0,1000.0,2000.0,0.0,2423.6,553.8
176,177,-1,-1,-1,-1,-1,-1,1597.6,795.4,1369.6,343.8,275.6,3988.4,796.6,1370.6,343.8,275.6,3988.4,483.6
177,178,0,0,0,0,0,0,25480.4,22010.0,10309.4,8876.8,7380.0,5899.4,900.0,349.0,313.2,241.6,215.4,505.8
178,179,-1,-2,-2,-2,-1,-1,288.0,0.0,1484.4,178.6,1216.4,458.6,0.0,1484.4,178.6,1216.4,458.6,659.8
179,180,0,0,0,0,0,0,3869.2,4341.6,4588.0,3813.6,3281.8,3276.6,600.0,400.0,439.6,200.0,600.0,479.8
180,181,1,-1,2,-2,-2,-1,4300.2,4130.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,457.0,0.0
181,182,0,0,0,0,0,0,9434.8,9594.8,9726.0,10160.6,6157.8,3174.8,360.0,400.0,600.0,400.0,400.0,400.0
182,183,-1,-1,-1,2,-1,-1,627.8,1170.6,564.2,0.0,564.2,0.0,564.2,0.0,0.0,564.2,0.0,35.2
183,184,-1,-1,2,2,2,2,28.4,43.0,27.8,3.8,3.8,15.8,71.0,24.0,0.0,0.0,12.0,12.0
184,185,0,0,0,-1,0,-2,3963.2,4079.2,4020.4,3915.0,0.0,0.0,320.2,440.6,422.8,0.0,0.0,0.0
185,186,0,0,0,0,0,0,7553.4,6891.4,6007.2,6067.4,6199.4,6580.8,357.6,359.8,220.0,230.0,484.6,0.0
186,187,0,0,0,0,2,0,9228.0,9156.2,9627.8,10227.4,7890.0,5071.6,500.8,801.4,1011.2,14.8,204.6,513.2
187,188,0,0,0,0,0,0,7142.6,3078.4,3219.8,3283.6,3353.0,3496.8,312.2,253.6,117.4,122.2,200.0,400.0
188,189,0,0,0,0,-1,0,5848.4,5901.4,5831.0,5051.0,4400.2,0.0,1001.2,248.8,170.2,191.0,0.0,0.0
189,190,0,0,0,0,0,0,20310.2,21049.2,20956.2,21066.8,21539.8,21365.6,1073.2,1017.4,721.0,778.8,757.0,660.8
