ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default
9383,4000,1,2,1,29,0,0,0,0,0,-2,1724.8,1994.4,1959.8,1999.8,0.0,0.0,300.0,200.0,40.0,0.0,0.0,0.0,0
2466,6000,1,1,1,30,2,2,2,3,2,2,2421.8,2583.4,2781.8,2678.8,2607.2,3003.8,260.0,300.0,0.0,0.0,440.0,0.0,1
2242,26000,0,2,1,40,0,0,0,0,0,0,4146.6,2852.2,4448.4,3653.0,4309.2,6482.2,1452.2,2454.4,2053.0,2309.2,2482.2,2000.0,0
12232,22000,1,2,2,33,0,0,0,0,-1,-1,7215.0,7888.4,8248.0,8476.0,76.0,19347.2,800.0,552.0,600.0,76.0,19347.2,720.0,0
14355,52000,1,2,1,37,1,1,-2,-2,-1,0,1183.4,-3182.0,-3182.0,-3182.0,4818.0,2795.4,0.0,0.0,0.0,8000.0,101.4,131.2,0
13690,20000,0,1,1,60,0,0,3,2,0,0,962.8,1662.2,1606.2,1158.0,772.0,519.8,718.2,0.0,0.0,0.0,0.0,542.4,1
18262,90000,0,2,2,32,0,0,0,0,0,0,33259.0,29509.8,46884.2,48004.0,48003.2,44709.0,1154.2,18000.0,2103.4,1760.2,1653.0,1800.0,0
17274,32000,1,1,1,33,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1379,58000,1,2,1,40,0,0,0,0,0,0,54911.6,51382.0,45913.2,29762.4,10631.4,9599.6,2140.0,2202.8,1160.0,364.0,400.0,400.0,1
11838,10000,1,2,2,23,0,0,0,0,2,0,9681.8,7914.4,3384.4,3863.8,3528.8,3641.8,321.0,320.6,600.0,0.0,200.0,200.0,0
19892,14000,1,3,1,52,-1,-1,-1,0,0,0,200.0,219.6,5645.8,5609.2,4889.2,4430.2,219.6,6001.0,270.0,160.0,150.0,156.0,0
13987,48000,1,1,2,28,-2,-2,-2,-2,-2,-2,1690.2,283.8,7461.4,217.2,298.8,1544.8,283.8,7461.4,217.2,298.8,1544.8,220.2,0
17406,64000,1,5,1,46,-2,-2,-2,-2,-2,-2,3569.8,1029.8,3323.0,582.8,139.2,148.0,1029.8,3330.8,582.8,139.2,148.0,1299.6,0
11861,4000,1,2,1,27,0,0,0,0,-1,-1,2097.8,1730.4,1428.6,1208.8,156.0,23.2,244.4,240.0,200.8,156.0,23.2,161.2,1
5921,24000,1,2,2,23,0,0,0,0,0,0,23130.6,21794.2,16718.4,4464.2,6430.0,7328.8,1000.0,1000.0,400.0,4000.0,2000.0,2000.0,0
4756,16000,1,2,2,25,0,0,0,0,0,0,15680.2,15386.0,15595.4,11693.8,11744.4,11954.0,712.4,622.4,415.2,455.8,435.0,460.0,0
261,10000,1,2,2,29,0,0,0,0,0,0,9416.2,9863.2,10081.8,9109.0,7992.6,8229.0,600.0,400.0,400.0,400.0,400.0,400.0,1
15520,10000,0,2,2,29,0,0,0,0,0,0,2640.0,2586.0,2536.8,2410.0,2201.0,1990.4,301.2,304.2,229.6,72.8,71.0,78.0,0
20784,46000,1,2,2,24,0,0,2,0,0,0,12985.8,13018.6,11869.8,11283.6,10590.0,9887.8,1200.0,0.0,600.0,400.0,300.0,600.0,0
14750,44000,1,3,2,40,0,0,0,2,0,0,39427.8,33244.2,35718.8,34866.0,35905.0,36912.4,1300.0,3000.0,0.0,1600.0,1600.0,3000.0,0
10761,4000,0,2,2,47,2,0,0,0,0,0,3880.2,3934.0,3967.8,4047.2,3961.4,3968.6,266.2,400.0,137.6,200.0,300.0,140.0,1
12185,4000,1,2,2,40,0,0,0,-1,-1,-1,627.0,528.6,490.8,450.0,459.2,863.0,400.0,459.2,459.2,468.4,863.0,559.2,0
13947,4000,1,3,2,24,-1,-1,-1,-1,-1,-2,1020.6,754.6,2026.4,963.6,0.0,0.0,754.6,2027.8,966.0,0.0,0.0,392.0,0
19129,44000,1,2,2,28,-1,-1,-2,-2,-2,-2,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
388,14000,0,3,1,32,0,0,0,0,0,0,13747.8,13525.8,13837.6,13678.4,13976.8,14256.8,612.0,660.0,522.0,550.0,550.0,1100.0,0
19994,10000,0,2,2,24,1,-2,-2,-2,-2,-2,-200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,400.0,0.0,0
2269,20000,1,3,1,36,0,0,2,0,0,2,20394.4,23067.0,22403.2,22581.2,24020.2,27763.8,3321.6,0.0,846.6,1840.0,4200.0,800.0,1
340,52000,0,2,2,37,0,0,0,-1,0,0,51138.2,52547.2,7327.6,24477.6,25480.4,26214.8,2800.0,1004.4,26000.0,1400.0,1200.0,1200.0,0
22272,60000,0,2,1,44,0,0,2,2,0,0,44642.2,47812.2,47974.8,46778.8,33904.0,32077.0,4200.0,1200.0,732.4,1200.0,1200.0,1200.0,0
12599,22000,0,2,2,32,0,0,0,0,0,-2,8403.0,7779.4,5811.8,4159.8,-392.2,-392.2,315.0,275.4,201.4,0.0,0.0,13259.2,0
19871,10000,1,2,2,55,0,0,0,0,0,0,8124.6,8017.6,7741.2,7606.8,4735.0,4577.6,323.2,436.0,400.8,200.0,200.4,200.8,0
11099,64000,1,2,1,35,-1,0,0,0,0,0,35478.2,36426.4,20369.8,18494.8,19055.8,15507.2,1640.0,872.8,3600.0,800.0,515.2,1000.0,0
321,34000,1,1,2,31,-1,-1,-1,-1,0,-1,39.8,39.8,39.8,79.6,39.8,39.8,39.8,39.8,79.6,0.0,39.8,79.6,1
17085,70000,1,1,1,41,-2,-2,-2,-2,-2,-2,1007.4,2998.8,620.2,3464.2,-4.4,888.6,3013.8,623.2,3482.8,0.0,893.0,1886.8,0
20447,4000,0,3,2,34,1,4,3,2,2,2,3105.2,2999.2,2894.8,2788.8,3014.6,2938.4,0.0,0.0,0.0,272.6,0.0,400.0,0
15691,100000,0,1,1,39,2,0,0,2,2,2,3155.2,3493.4,24194.4,23417.6,24256.6,23516.6,600.8,21200.0,0.0,1601.6,15.6,2109.8,1
20035,6000,0,3,2,26,2,2,2,2,2,2,2919.6,2799.6,3093.4,2982.6,3538.4,3260.4,400.0,400.0,0.0,601.8,0.0,400.0,0
14959,100000,1,1,2,34,-1,-1,-1,-1,0,-1,935.4,1237.4,955.0,6237.6,1165.4,727.4,1237.4,955.0,6237.6,0.0,823.8,1478.0,0
17873,48000,1,3,1,50,0,0,0,0,0,0,48430.4,47527.0,48438.2,42575.8,37098.0,37770.0,1600.0,1600.0,1400.0,1200.0,1200.0,1400.0,0
1543,16000,1,2,2,30,1,2,0,0,0,0,1278.6,1229.6,1462.2,1460.6,1491.2,1521.0,0.0,253.2,51.6,53.4,53.8,55.6,1
11469,10000,1,2,1,37,0,0,0,0,0,0,7174.8,6426.0,6920.4,7034.4,5513.6,5693.4,320.0,600.0,295.4,400.0,300.0,500.0,0
22129,4000,0,2,1,40,1,2,3,2,3,3,2965.8,3453.4,3341.2,3738.8,3809.8,3691.8,600.0,0.0,512.0,191.0,0.0,132.2,0
9653,100000,0,2,1,35,-2,-2,-2,-2,-2,-2,459.0,276.8,276.8,276.8,1118.0,908.4,276.8,276.8,276.8,1118.0,908.4,200.0,0
1463,36000,0,1,1,50,0,0,0,0,0,0,13222.8,13887.2,14512.0,15233.8,15597.6,13858.6,1000.0,1000.0,1000.0,600.0,1000.0,1000.0,0
12257,40000,1,1,1,49,-1,-1,-1,-1,-1,-1,249.6,0.0,18.8,342.4,1909.8,212.0,0.0,18.8,342.4,1909.8,212.0,0.0,0
8790,14000,1,1,2,29,2,2,2,2,2,2,8918.8,9117.6,9308.0,9475.6,9298.0,9551.6,400.0,400.0,380.0,0.0,440.0,720.0,1
15249,18000,1,3,1,53,0,0,0,0,0,0,12153.8,12388.6,12416.4,12287.2,5501.4,5843.6,441.4,500.0,295.8,200.0,694.6,500.0,0
18117,40000,0,2,2,29,3,2,2,4,4,4,500.0,500.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,1
767,30000,1,2,2,25,0,0,0,0,0,0,28565.4,25263.4,15064.8,15754.6,19075.0,11532.6,1000.0,800.0,1000.0,8000.0,600.0,576.0,0
2926,26000,0,3,1,48,0,0,0,0,0,0,13725.8,11433.6,11620.6,11719.0,11964.4,11114.4,437.4,400.0,400.0,410.6,392.8,600.4,0
18992,16000,1,3,2,25,0,0,0,0,0,0,16160.8,16278.0,16340.0,15816.0,11974.6,12104.0,600.0,611.6,1802.6,440.0,440.0,500.0,0
3427,6000,0,2,2,23,0,0,0,0,0,0,5455.0,5389.6,5636.6,5096.8,5412.4,5740.6,400.0,400.0,280.0,400.0,420.0,500.0,0
19402,70000,1,2,1,39,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0
8416,10000,0,3,1,58,0,0,0,-2,-2,-1,10091.2,10280.0,0.0,0.0,0.0,2080.0,480.0,0.0,0.0,0.0,2080.0,0.0,0
17908,32000,0,1,2,29,1,-1,-1,-2,-2,-2,0.0,1257.0,0.0,0.0,0.0,0.0,1257.0,0.0,0.0,0.0,0.0,0.0,0
10585,30000,1,2,1,40,-1,0,0,0,0,0,816.6,2038.6,2524.0,2605.4,3552.0,16629.2,1249.6,924.0,605.4,1410.0,15083.0,1211.2,0
19106,48000,1,3,1,24,0,0,0,0,0,0,27352.0,38664.2,37914.4,38959.8,10519.8,10297.4,18000.0,1434.0,1800.0,600.0,600.0,473.4,0
19081,18000,1,2,2,25,0,0,2,0,0,0,17366.0,18803.2,17695.4,17564.0,17688.8,18239.6,1800.0,0.0,820.0,600.0,800.0,900.0,0
19035,4000,1,3,1,26,0,0,0,0,0,0,2709.6,2983.8,3411.4,2690.0,1588.8,156.0,321.0,626.0,255.0,31.8,0.0,0.0,0
3141,10000,0,2,1,32,0,0,0,0,0,0,10152.8,10085.6,9912.8,4200.4,4046.0,3892.4,440.0,300.0,300.0,400.0,340.0,400.0,1
13188,52000,1,2,1,49,-1,-1,-1,0,0,0,1609.2,436.8,3095.0,2196.2,1713.2,948.2,436.8,3096.4,400.0,600.0,200.0,1025.0,1
10501,36000,1,2,1,40,-1,-1,-1,0,0,2,126.4,63.2,33.2,1397.6,1364.4,93.2,63.2,33.2,1364.4,93.2,0.0,126.4,0
14461,52000,1,1,2,40,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21552,100000,1,1,2,31,0,0,0,0,0,0,9435.4,11189.4,11410.4,12410.2,14039.6,14584.8,2000.0,600.0,1200.0,2000.0,2000.0,862.6,0
10667,2000,0,3,2,34,0,0,0,0,0,0,1433.0,1729.4,1849.4,1886.2,1768.6,1815.0,400.0,228.2,65.0,66.2,77.8,200.0,0
5561,46000,1,1,1,36,-1,-1,-1,-1,-1,-1,415.6,76.0,420.0,106.0,456.4,278.0,76.0,420.0,106.0,456.4,278.0,76.0,0
18938,26000,1,2,2,24,0,0,0,0,0,0,7174.2,7374.6,7585.4,7798.6,7925.6,8427.2,380.0,390.0,400.0,316.0,662.0,0.0,0
311,46000,1,2,2,27,1,2,0,0,0,0,2733.6,2529.4,2627.0,2119.2,1843.6,1013.6,0.0,212.8,84.6,62.6,200.0,928.2,1
16661,12000,1,2,1,27,0,0,0,0,0,0,12183.0,10947.6,9404.6,11510.8,5482.4,5565.8,451.0,493.8,5000.0,240.0,201.6,211.4,0
5962,40000,0,2,2,39,0,0,-1,0,0,2,2624.8,2354.8,1265.6,942.8,8436.8,7915.2,211.6,1267.2,2.0,7917.0,7.8,217.4,0
15556,72000,0,3,2,33,0,0,0,0,0,0,6458.0,6749.4,7968.0,9226.0,10106.8,10779.4,400.0,1400.0,1400.0,1000.0,800.0,857.4,0
195,44000,0,1,1,48,2,0,0,0,0,0,42076.0,42704.4,40370.4,33823.0,34433.8,32480.4,2000.0,1804.0,1200.0,1100.0,1200.0,1100.0,1
14939,32000,1,2,1,45,-1,-1,-1,-1,-1,-1,730.0,330.0,1130.0,660.0,330.0,330.0,330.0,1130.0,660.0,330.0,330.0,330.0,0
9630,48000,1,2,1,32,0,0,0,0,0,0,10657.2,3384.0,2573.8,2899.4,2452.4,1666.2,1600.0,300.0,1000.0,200.0,600.0,533.2,0
16624,30000,1,1,3,30,1,-1,2,-1,-1,-1,1208.6,10.0,1305.4,433.6,-1.4,274.6,0.0,1717.8,500.0,0.0,276.0,0.0,0
15594,54000,0,3,2,38,0,0,0,0,0,0,52768.4,35942.2,37189.6,36850.4,36720.2,37400.6,2204.2,2408.2,1605.6,1400.2,1090.8,1200.2,0
12483,24000,0,1,2,35,-1,-1,-1,-1,-1,2,65.2,65.2,35.2,-30.0,190.4,95.2,65.2,35.2,0.0,285.6,0.0,95.2,0
2404,40000,0,1,2,28,-2,-2,-2,-2,-2,-2,666.0,533.0,23064.6,4309.4,811.2,636.0,537.2,23183.2,4344.4,815.2,639.2,3532.0,0
8157,80000,0,1,1,40,-1,-1,-2,-1,-1,-2,950.0,0.0,0.0,565.4,0.0,0.0,0.0,0.0,565.4,0.0,0.0,669.4,1
809,100000,0,1,2,35,-1,0,-1,-1,-1,0,34408.2,14002.2,2595.2,6893.8,5485.0,5701.2,11752.2,2795.2,6965.6,5657.8,3635.0,3500.0,0
11020,34000,0,2,1,34,1,2,2,2,2,0,18290.0,18097.2,17200.8,12872.6,11182.4,10900.0,680.0,0.0,791.4,0.0,440.0,260.0,1
3547,10000,1,1,2,26,0,0,2,2,2,2,1160.0,1637.8,1581.8,1953.4,1893.2,2260.0,500.0,0.0,400.0,0.0,400.0,80.0,1
15232,16000,1,3,1,54,0,0,0,0,0,0,15053.4,10977.8,11389.8,7136.8,2080.0,0.0,600.0,800.0,600.0,200.0,0.0,0.0,0
6775,34000,1,1,2,25,0,0,0,-2,-2,-2,5271.8,1055.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0
1849,76000,1,3,1,56,-2,-2,-2,-2,-2,-2,0.0,269.8,1189.4,3347.0,1288.8,0.0,269.8,1191.4,3347.0,1288.8,0.0,1539.8,1
11094,2000,1,3,1,51,2,2,-2,-2,-2,-1,20.6,-135.4,-135.4,-213.4,-149.4,14.2,0.0,0.0,0.0,220.0,163.6,283.6,1
7530,40000,1,2,1,27,0,0,0,0,2,2,34876.2,35415.6,36805.2,38413.8,39772.4,35354.0,1400.0,2000.0,2200.0,2008.6,0.0,1400.0,0
3522,76000,0,2,1,58,0,0,0,0,0,0,73939.8,66351.0,60603.2,58003.8,58937.8,60298.2,2434.4,2219.0,2201.4,2200.0,2401.2,2200.0,0
421,54000,0,1,2,34,-1,-1,0,-1,-1,-1,1156.0,2401.2,3147.2,1324.2,491.4,2984.6,2401.2,1147.2,1324.2,491.4,2984.6,342.4,0
13067,38000,1,2,1,31,1,-1,-1,2,-1,-1,-18.4,93.0,604.4,279.4,310.8,312.2,400.0,800.0,0.0,320.0,320.0,340.0,0
9758,22000,1,2,1,49,-2,-2,-2,-2,-2,-2,23134.4,21978.4,13582.4,10198.8,8130.4,1157.0,1017.0,408.8,405.2,419.4,202.2,9635.8,0
12623,94000,0,1,1,38,0,0,0,0,0,0,6655.4,6858.4,7684.6,39554.6,40544.4,9396.0,373.8,1000.0,32509.2,1156.6,337.8,395.4,1
8483,58000,1,2,2,41,-1,-1,-1,-1,-1,-1,1391.8,1378.2,196.0,811.8,494.6,666.4,1378.2,196.0,811.8,494.6,666.4,640.6,0
5345,44000,1,2,2,39,0,0,0,0,0,0,28437.2,28213.6,28078.2,28109.8,28060.6,28147.4,1400.0,1400.0,1001.2,1200.0,1262.4,1200.0,0
11566,12000,1,3,1,59,-1,-1,-1,-1,-1,-1,138.8,138.8,138.8,138.8,138.8,5789.6,138.8,138.8,138.8,138.8,5789.6,208.8,0
987,28000,0,2,1,48,-1,-1,2,0,0,-2,320.0,1002.4,947.8,947.8,0.0,0.0,1002.4,0.0,0.0,0.0,0.0,554.0,1
12500,40000,0,2,1,45,-1,0,-1,-1,0,-1,19794.8,7365.8,6341.4,8886.6,831.0,422.8,2000.0,6345.4,8925.2,3.6,424.8,1968.8,0
5698,94000,1,2,1,35,0,0,0,0,0,0,12975.0,11584.0,11861.4,12300.0,11912.6,11473.6,501.0,600.0,603.2,440.0,600.0,320.0,0
14283,16000,1,2,2,23,0,0,-2,-2,-2,-2,13770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18367,4000,0,2,2,34,-2,-2,-2,-2,-2,-2,443.2,439.8,306.0,150.0,456.0,300.0,439.8,306.0,150.0,228.0,600.0,156.0,0
12593,44000,0,3,1,39,2,2,2,2,2,2,35161.6,35879.8,36607.8,37108.2,37596.8,38367.4,1600.0,1600.0,1400.0,1400.0,1400.0,0.0,1
7651,40000,1,1,2,29,-2,-2,-2,-2,-2,-1,78.0,78.0,38.4,-39.6,-117.6,138.2,78.0,38.4,28.0,0.0,345.4,57.4,0
8525,40000,1,2,1,40,-1,-1,-1,-1,0,-1,1452.2,6466.6,2522.0,1570.0,195.4,1841.0,6508.6,2717.4,1570.0,0.0,1841.0,0.0,0
14915,46000,1,2,1,32,0,0,0,0,0,0,39740.8,40443.4,40851.0,41469.4,10226.8,10044.4,2000.0,2000.0,2000.0,10000.0,400.0,400.0,0
3193,20000,1,2,1,39,-1,-1,-1,-1,0,0,40.0,40.0,40.0,559.0,18944.4,19327.6,40.0,40.0,559.0,18497.0,503.8,592.2,0
3019,24000,1,2,1,24,1,-2,-2,-2,-1,0,0.0,0.0,0.0,0.0,925.8,1110.2,0.0,0.0,0.0,925.8,200.0,383.0,0
22024,4000,0,1,2,22,-2,-2,-2,-2,-2,-2,-1.4,-1.4,146.0,200.0,60.0,0.0,0.0,147.4,212.0,60.0,0.0,0.0,0
22468,30000,0,1,2,30,0,0,0,-1,0,-1,476.8,835.2,1175.4,322.0,236.0,596.0,400.0,400.0,400.0,200.0,600.0,0.0,0
20640,92000,0,2,1,52,0,0,0,0,0,0,35504.0,34949.2,33655.8,34315.8,32690.0,32109.4,1600.0,1800.0,1630.8,1200.0,1200.0,1200.0,0
3944,16000,1,3,2,25,-1,-1,-1,-1,-1,-1,114.2,789.6,939.0,78.0,257.8,187.0,790.4,939.0,78.0,257.8,187.0,78.0,0
20066,50000,0,3,1,28,0,0,0,0,0,0,29899.8,23945.2,22338.0,22955.2,22180.4,22803.6,3000.0,2000.0,2000.0,2000.0,1000.0,1000.0,0
6676,30000,0,1,2,55,-1,-1,-1,-1,-1,-1,58.2,58.2,58.2,57.0,417.0,1733.8,58.2,58.2,57.0,418.2,1739.0,14929.2,0
18949,30000,1,2,2,23,0,0,0,0,0,0,33463.4,33319.2,33198.0,32257.0,31349.8,30372.6,2000.0,2000.0,1200.0,1200.0,1100.0,1100.0,0
175,10000,0,2,1,26,0,0,-2,-1,-1,0,20560.0,0.0,0.0,524.8,9113.4,9311.4,0.0,0.0,524.8,9113.4,349.4,400.0,0
3770,4000,0,2,2,27,0,0,-1,0,0,0,3866.2,3645.0,3683.6,3859.4,3800.0,3936.6,241.8,3866.0,460.6,200.0,200.0,200.0,0
14870,44000,1,2,2,35,-2,-2,-2,-2,-2,-2,665.4,-3.4,541.2,0.0,0.0,18494.4,0.0,544.6,0.0,0.0,18494.4,2000.0,0
17332,12000,1,1,1,28,0,0,0,0,0,2,9246.6,9452.6,9739.2,10077.0,10409.0,10532.2,420.0,500.0,500.0,500.0,320.0,300.0,0
12026,30000,1,3,1,43,0,0,0,2,2,0,28562.2,27930.4,22373.6,21540.4,20622.4,20649.2,1200.0,2140.0,320.0,0.0,560.0,500.0,1
182,10000,0,1,2,39,0,0,0,0,0,0,9434.8,9594.8,9726.0,10160.6,6157.8,3174.8,360.0,400.0,600.0,400.0,400.0,400.0,0
14000,6000,1,2,2,22,0,0,0,0,0,0,5736.2,5572.4,5473.0,5607.6,5721.4,5846.8,370.0,340.0,260.0,160.0,172.0,176.6,0
16521,48000,1,1,1,29,0,0,0,-1,0,0,8384.6,4281.8,3566.6,38808.6,38998.2,38560.0,355.8,200.0,38808.6,1306.0,1400.0,1400.0,0
7504,40000,1,3,2,45,1,-2,-2,-2,-1,0,133.2,385.6,-3.0,350.6,943.4,246.0,387.4,0.0,353.6,1227.4,0.0,5.4,0
18240,2000,0,2,1,38,0,0,2,0,0,2,1359.6,1611.0,1560.6,1724.6,1905.4,1956.0,300.0,0.0,220.0,200.0,100.8,0.0,1
4521,22000,0,1,1,36,0,0,0,0,0,0,20899.6,21563.8,21967.2,8871.2,9186.4,9494.6,1000.0,964.6,400.0,400.0,400.0,400.0,0
9880,12000,0,3,1,38,2,2,2,0,0,0,6446.4,5017.2,4880.8,5042.4,5629.4,6030.4,800.0,0.0,300.0,700.0,520.0,0.0,1
8371,10000,0,2,2,23,0,0,0,0,0,0,9051.2,8321.6,7310.8,3873.4,3941.0,3939.2,432.2,324.2,200.0,200.0,200.0,200.0,0
2481,20000,1,2,2,39,0,0,-1,0,0,-1,4822.0,2099.4,4031.8,1410.6,0.0,224.0,400.0,4031.8,100.0,0.0,224.0,381.8,0
7584,12000,0,1,2,28,1,-1,0,0,2,2,0.0,626.4,628.8,727.6,687.2,4443.8,626.4,210.6,109.4,0.0,3800.0,0.0,1
383,24000,0,1,2,26,-1,-1,-2,-1,-1,-2,176.8,0.0,0.0,2089.2,0.0,0.0,0.0,0.0,2089.2,0.0,0.0,0.0,0
9191,30000,0,1,2,28,0,0,0,0,0,0,5683.2,7478.4,8909.4,10574.2,11575.4,12804.0,2000.0,2001.6,2002.4,2000.4,1601.2,1401.0,0
14272,50000,1,2,2,35,0,0,0,0,0,0,47771.0,48342.2,41188.8,42102.6,42939.2,43843.6,1703.4,1496.2,1600.0,1536.4,1595.8,2670.0,0
5066,4000,1,2,1,44,8,7,6,5,4,3,3388.4,3344.2,3238.6,3289.0,3124.8,3019.2,0.0,0.0,156.0,0.0,0.0,0.0,1
4537,80000,0,2,2,29,1,2,0,0,0,0,4218.4,3951.2,3811.6,3029.2,3012.8,2554.8,0.0,302.0,202.0,200.0,400.0,400.0,0
2787,44000,1,3,2,27,2,2,2,3,2,0,30147.8,30765.4,31306.2,30944.2,30125.4,30806.8,1400.0,1400.0,460.0,0.0,1120.0,900.0,0
8384,10000,1,2,2,30,0,0,0,0,0,0,9755.8,10019.4,10062.6,2052.8,2016.4,1979.8,480.0,340.0,69.6,70.8,72.4,64.0,0
