ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default,result1,xgbresult,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,P1
20195,1,0,2,3,30,2,2,2,0.5,0.5,0.5,25349.8,27173.4,26449.8,26483.2,26391.8,25675,2248.6,0,1120,1030,1020,902.4,1,1,1,5,0.2,0,0.2,0.2,0.2,1,1
22338,1,0,2,1,25,1,2,0.5,0.5,0.5,2,9054.2,8849.4,9057.4,9266.4,9943,9757.6,0,411,420,895.2,0,760,0,1,0,5,0,0.2,0.2,0.2,0,1,1
3105,2,0,1,2,40,0,0.5,0.5,2,0.5,0.5,23058.8,23589,26073,25356,25914,26710.6,1200,3200,0,1000,1260,600,0,0,0,5,0.2,0.2,0,0.2,0.2,0.5,1
12901,1,1,1,2,25,0.0001,0,0.5,0,0,0.1,1190.6,208.8,490,49.6,39.6,0,208.8,490,49.6,39.6,0,578,0,0,0,0,1,1,1,1,1,1,1
11430,1,1,3,1,30,0,0.5,2,0.5,0.5,0.5,24955.4,26653,25942.6,25976.6,24469.8,20283,2400,0,1020,964,768.8,900,0,0,0,5,0.2,0,0.2,0.2,0.2,1,1
20525,0,0,3,1,25,0,0.5,0.5,2,0.5,0.5,3958.8,3903.8,4092.8,3951.2,3995.6,2336,260.8,580,0,154.6,125.2,1710.8,0,0,0,5,0.2,0.2,0,0.2,0.2,1,2
16045,2,0,1,1,50,1,2,2,2,2,2,4791.8,4655.2,5058.8,5356,5428.6,5512.6,0,480,440.2,220,200,0,1,1,1,5,0,0.2,0.2,0.2,0.2,0,0
8585,5,1,2,2,30,0,0.5,0.5,0.5,0.5,0.1,9960.6,5156.2,3680,2195.6,235,6571.4,278,875,54.2,99.4,6851,209.6,0,0,0,4,0.2,0.5,0.2,0.5,1,0.2,0
7023,5,1,2,1,50,0.0001,0,0.5,0,0.5,0.1,1571,3496.2,2404.2,26581.2,24451.2,7476,3502.4,2404.2,26581.2,0,7476,700,0,0,0,1,1,1,1,0,1,0.2,1
7153,2,1,2,2,25,0,0.5,0.5,0.5,0.5,0.5,27771.8,27304.2,27091.8,23461.6,21585.6,20759.8,1061.6,983,820,800,800.4,800,1,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
13808,0,1,2,2,20,2,0.5,0.5,0.5,0.5,0.1,3739.2,4017.2,4057,3306,0,0,341,283.6,402.2,0,0,0,1,1,1,3,0.2,0.2,0.2,1,1,0,0
16344,1,1,4,2,25,0,0.5,0.5,0.5,0.5,0.5,34107.2,35028.6,36032.4,38040.4,41984.6,11098.2,1028.6,1032.4,2040.4,3984.6,318.2,1100,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,2
21164,2,1,3,1,35,0,0.5,0.5,0.5,0.5,0.5,30392.6,28376.8,28685.6,29257.8,25626.6,24921.2,1020,1420,1500,900,1000,960,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
9671,3,1,2,1,35,0,0.5,0.5,0.5,0.5,0.5,29488,27587.6,26363.2,24152.2,24075,24179.4,1001.8,1225,800.2,802.6,1000,803,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
11406,1,1,1,2,25,0,0.5,2,2,0.5,0.5,852.4,1433.8,1679.2,1622.6,1794.2,2164.8,600,300,0,200,400,200,1,0,0,5,0.5,0.2,0,0.2,0.2,0.7,0
12800,1,1,2,2,20,0,0.5,0.5,0.5,0,0.5,20322.8,19882.6,20450.4,17801.8,15970.6,16194,2000,3404.6,1788.4,17390,6600,1402.6,0,0,0,4,0.2,0.2,0.2,1,0.5,0.5,2
13996,2,1,1,2,20,0,0.5,0.5,2,0.5,0.5,15764.6,16102.8,17419.2,16961.2,17164.4,17500.8,600,1580,0,660,640,660,0,0,0,5,0.2,0.2,0,0.2,0.2,1,1
13651,5,0,1,2,40,0,0.5,0.5,0.5,0.5,0.5,89867.2,91333.6,84968.6,65154.4,64152,65168.2,3424.8,2941.2,3075.4,2096.2,2200.6,2260.6,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,3
3409,2,0,3,1,40,0,0.5,0.5,0.5,0.5,0.5,29255.4,25535.8,14664.6,14956.6,15272,15573.6,790.4,522.8,526.2,547,548,544,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
545,0,0,2,1,40,0,0.5,0.5,2,0.5,0.5,1427.8,1683.2,1963,1901.6,1950.8,2038.4,280,340,0,80,120,40,1,0,0,5,0.2,0.2,0,0.2,0.2,0.5,0
4360,2,0,1,2,35,2,2,2,2,2,2,21537.8,21935.6,22177.4,22374.2,22844.6,23315.4,1040,900,860,860,880,900,1,1,1,5,0.2,0.2,0.2,0.2,0.2,1,1
1103,2,1,3,2,25,1,0,0.0001,0.0001,0.0001,0.0001,0,0,830,413,0,100,0,830,413,0,100,0,1,0,0,0,1,1,1,1,1,0,0
7762,5,0,1,2,30,0.0001,0,0.5,0,0,0.1,962.8,2587.8,3900.4,25681.2,0.0001,0.0001,2655,3904.4,25681.2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
16836,1,1,2,1,40,0,0.5,0.5,0.5,0.5,0.5,9573.4,8187.4,5773.6,8950.2,5511.4,5825,416.6,368,6200,195.4,400.6,242.8,0,0,0,5,0.2,0.2,0.7,0.2,0.2,0.2,0
5043,2,0,1,1,40,1,2,2,2,2,2,14707.4,14359.2,16090.6,11651.4,19436,19106.2,0,2000,0,8000,0,3000,1,1,1,5,0,0.2,0,0.5,0,1,4
9186,1,0,1,2,20,0,0.5,0.5,0,0.5,0.5,4141.6,5257.2,3641.8,1094.2,1379.2,1901.2,1309,1761.4,1100,800,700,200,0,0,0,4,0.5,0.5,1,0.7,0.5,0.2,0
6766,2,1,2,1,40,0,0.5,0.5,0.5,0.5,0.5,7554.4,7772.4,7982.8,8111.8,8390.6,8442,400,400,322,440,320,320,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,0
4439,2,1,3,1,40,0.0001,0,0.5,0,0,0.0001,241.4,1118,500,0,0,0,1118,500,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
19694,1,1,1,2,30,0,0.5,0.5,0.5,0.5,0.5,11187.4,11421.4,11950.6,12351,12725.8,10884.6,420,800,600,600,464.6,400,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,1
12593,2,0,3,1,35,2,2,2,2,2,2,35161.6,35879.8,36607.8,37108.2,37596.8,38367.4,1600,1600,1400,1400,1400,0,1,1,1,5,0.2,0.2,0.2,0.2,0.2,0,0
17010,3,1,3,1,40,1,0,2,2,0,0.1,0.0001,101.4,101.4,0.0001,750,643.2,101.6,0,0,1066,643.2,408.2,0,0,0,1,1,0,0,1,1,1,1
13209,2,1,2,1,40,0,0.5,0.5,0.5,0.5,0.5,31398.6,31896.4,32384.2,33172.6,25607.6,26186.2,1600,1300,1400,1000,1000,1000,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
4075,1,0,2,2,25,0.0001,0.5,0.5,0.5,0.5,0.5,15540.2,3915.4,4406.6,11504.4,11787.8,12158,400,560,7200,500,600,1000,0,0,0,5,0.2,0.2,0.7,0.2,0.2,0.7,1
17896,4,0,1,2,25,1,0,0.5,0,0,0.1,0.0001,12010.8,37546.8,3465.6,2131.6,15579.6,13000,37600,3476.8,4000,15600,9335.4,0,0,0,0,1,1,1,1,1,0.7,13
20123,1,0,1,1,30,0,0.5,0.5,0.5,0.5,0.5,5082.2,5397.8,5649,5835.2,5739.2,5864.2,400,400,300,200,182.6,360,1,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
17879,4,1,2,2,50,0,0.5,0.5,0.5,0.5,0.5,43587.2,40569,35450.4,33124.4,33564.8,31370.2,1776,1598.4,1125.4,1110.8,1091.2,1089,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,2
4942,4,0,1,1,40,0,0,0.5,0.5,0.5,0.1,2044.2,1667.4,1939.2,2866.4,4289.2,1895.2,1707.2,1000,1700,2000,1895.2,1400,0,0,0,3,1,0.7,0.7,0.5,1,1,2
1189,1,1,2,1,30,0,0.5,0.5,0.5,0.5,0.5,9701.6,9842.6,7656,2461,1287.2,0,607.4,360,226,400,0,0,0,0,0,4,0.2,0.2,0.2,0.5,1,0,0
11317,0,0,2,1,35,3,2,0.5,0.5,0.5,0.5,4066.8,3711,691,871.8,889.6,940.8,0,219.2,200,17.8,51.2,0,0,1,1,5,0,0.5,0.5,0.2,0.2,0,0
16824,2,1,1,2,35,0.0001,0,0.5,0,0,0.5,922.4,581.2,4755.4,15657.4,1797.2,2333.2,581.2,4764,15657.4,7178,2200,2036,0,0,0,1,1,1,1,1,1,0.5,3
18612,4,0,2,2,30,0,0.5,0.5,0.5,0.5,0.5,52515.2,47531.2,44517.2,41169,34887.6,31412.2,2002.6,2005.8,2001.8,1121.8,1200,2000,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,3
22487,1,0,2,1,40,1,2,2,2,0.5,0.5,7734.2,7354.4,6620.2,5638.4,4535.2,2929.4,460,340,0,103.4,100.6,117,0,1,0,5,0.2,0.2,0,0.2,0.2,0.7,0
15982,0,0,5,2,50,0,0.5,0.5,2,0.5,0.5,13851.4,14011,3799.4,2080.8,2234,76,480,366.6,220,460,0,80,1,0,0,5,0.2,0.2,0.2,0.5,0,0.5,0
6053,2,0,2,1,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,1525,1665,299.4,0,0,1525,1666.8,299.4,0,0,1525,445.2,0,0,0,0,1,1,1,1,1,0.7,1
15646,3,0,1,1,35,0,0,0.5,0,0,2,61464.2,939.2,1115.8,1707.4,500,500,946,1121.4,1726.8,500,0,0,0,0,0,1,1,1,1,1,0,0,0
2685,0,1,3,1,50,0,0.5,2,2,2,0.5,1464.8,1961.6,1900.2,2005.8,1946,1994.8,521.8,0,166,0,80,100,0,1,1,5,0.5,0,0.2,0,0.2,0.7,0
17613,0,1,2,1,30,0,0.5,0.5,0.5,0.5,0.5,2616,2182.2,3778,2205.2,1172.6,654.6,300,400,400,200,200,0,0,0,0,5,0.2,0.2,0.2,0.2,0.5,0,0
11719,3,1,1,2,25,1,0,0.5,0,0.5,0.5,0,46,0,65.4,33.6,33.6,46,0,65.4,0,0,0,1,0,0,2,1,1,1,0,0,0,0
734,2,0,1,2,25,0.0001,0,0.5,0,0,0.1,133.2,132.4,0.0001,11113.2,211.2,78,132.4,0,12282.2,211.2,0,399.6,0,0,0,1,1,0,1,1,0,0.2,1
8781,2,1,2,2,20,1,2,0.5,0.5,0.5,0.5,34194.2,33161.2,29200.2,22781.4,23115.6,22372.6,7.8,1200,787.4,815.4,900.8,4613.2,0,0,0,5,0.01,0.2,0.2,0.2,0.2,1,7
16040,1,0,1,1,50,0,0,0.5,0.5,0.5,2,1905.4,8581.6,8421.6,6122,6479.2,6348.6,8581.6,480,380,520,0,540,0,0,0,4,1,0.2,0.2,0.2,0,0.5,1
17864,5,1,2,2,40,0.0001,0,0.5,0.5,0.5,0.5,117.6,478.6,1061.2,1090.6,644.2,253.8,478.6,1061.6,200,0,0,311.4,1,0,0,3,1,1,0.2,0,0,1,0
7606,2,0,2,2,25,1,0,0.0001,0.0001,0,3,0,0,0,0,258,198,0,0,0,258,0,0,1,0,0,1,1,1,1,1,0,0,0
2210,3,0,3,2,40,0,0.5,0.5,0.5,0.5,0.5,53352.4,53701.6,53371.6,38882.6,37937.4,32494.6,2300,2000,1146.2,1130.8,1055,800,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,1
8814,1,1,1,1,35,0.0001,0,0.5,0,0.0001,0.0001,1038,129.8,0,0,0,0,129.8,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
16683,3,1,1,2,30,0.0001,0,0.5,0,0,0.1,144,0,13838,0,137.2,585.4,0,13838,0,137.2,585.4,599,0,0,0,0,1,1,1,1,1,0.5,1
15917,1,0,1,2,35,1,2,2,2,2,2,13409.2,13687.8,13851.6,14105.2,14354.8,14100.6,620,500,600,600,0,560,1,1,0,5,0.2,0.2,0.2,0.2,0,1,1
18469,0,0,1,2,30,0.0001,0,0.5,0.5,0,0.1,1291.2,878,603.2,900.8,1151,712,879.6,600,601.8,1153.4,713.2,5288.8,1,0,0,2,1,1,0.7,1,1,1,8
15717,3,0,2,1,40,2,0.5,0.5,0.5,0.5,0.5,37470.4,35849.4,36107,37504.8,37179,38079.2,1600,1340,2005.4,1340,1500,1400,1,1,1,5,0.2,0.2,0.2,0.2,0.2,1,2
15601,3,0,2,1,40,0,0.5,0.5,0.5,0.5,0.5,63537.2,60597.2,52785.6,52183.2,51400.2,42006.6,3400,3600,2600,2400,2400,1600,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,2
11293,0,0,3,2,35,1,3,2,0.5,0.5,0.5,1816,1758,1701,1911.4,2079,2245.4,0,0,240,200,200,200,0,1,1,5,0,0,0.2,0.2,0.2,1,0
9582,2,1,2,1,40,0.0001,0,0.5,0,0,0.1,83,83,83,83,243,278,83,83,83,243,278,243,0,0,0,0,1,1,1,1,1,1,0
4309,4,1,1,1,35,0.0001,0,0.5,0,0,0.1,2884.2,1678.4,2605,563.2,1371.2,2213.8,1782.2,2605,563.2,1371.2,2213.8,1364.6,0,0,0,0,1,1,1,1,1,1,2
12372,1,0,2,2,20,1,2,0.5,0.5,0.5,0.5,23432,18452.4,15977.8,13365.6,11102.2,4387.6,14,1600,400,269.2,600,0,1,1,0,5,0.01,0.2,0.2,0.2,0.2,0,0
7597,1,1,2,1,35,1,2,2,2,0.5,0.5,13522.4,13199.4,14120.8,13780.8,14073.8,14336.4,0,1260,0,540,520,560,1,1,0,5,0,0.2,0,0.2,0.2,1,1
13111,2,1,1,2,30,0,0.5,0.5,0.5,0.5,0.5,3903.6,4347,4519.8,4120,4826.4,7758.6,747,719.8,720,826.4,3000,1173,0,0,0,5,0.2,0.2,0.2,0.2,0.5,1,2
7916,1,1,1,2,25,2,0.5,0.5,2,0.5,0.5,22564.4,23105.2,24731.6,24051.8,24241,24955.6,905.4,2024.4,0.2,871,1783.6,0,1,1,1,5,0.2,0.2,0.01,0.2,0.2,0,0
13929,2,1,1,2,25,0.0001,0,0.5,0,0,0.1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,0,0,0,0,1,1,1,1,1,1,0
10812,2,1,2,1,40,0,0.5,0.5,0.5,0.5,0.5,16087,14965.2,14897,14387,14351.4,14368.8,669.8,640,540,542.2,560,312.2,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,0
14054,1,1,2,1,20,0,0.5,0.5,0,0,0.1,1917.4,1316.6,648.6,338.2,0.0001,544,240,200,340,0,1135.8,320,1,0,0,2,0.2,0.5,1,0,1,1,0
6681,1,1,2,2,20,0,0.5,0.5,0.5,0.5,0.5,10689.4,10346.8,10058.6,5333.4,5321.6,5533,405,1000,400,200,300,200,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,0
7823,1,0,1,2,25,0,0.5,0.5,0.5,0.5,0.5,15287.2,15087.4,11661.8,11843.4,11991,11420,1198,500,600,500,600,300,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,0
22245,1,0,2,1,35,0,0.5,0.5,0.5,0.5,0.5,8854,8479.6,8869.2,8819.6,9739.6,5391,1000,600,1000,1000,1000,1200,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,2
12650,5,0,3,2,35,0,0,0.5,0,0,0.5,1800.2,337.4,281.8,3240,3976,1822,340.4,284.4,3256.2,4012.4,100,5014,0,0,0,1,1,1,1,1,0.2,1,7
8146,1,0,1,2,25,1,0,0.5,0.5,0.5,0.5,0,69,2347.2,2277.4,2045.6,2099.4,69,2747.4,0,800,1200,0,0,0,0,3,1,1,0,0.5,0.7,0,0
5565,1,0,1,2,25,0.0001,0,2,0.5,0.5,0.5,589.2,919.8,372.6,661.8,289.2,78,919.8,0,289.2,0,0,498.6,0,0,0,4,1,0,0.5,0,0,1,1
6158,0,1,2,2,25,0,0.5,0.5,0.5,0.5,0.5,2163.6,2387.6,2589.8,2666.4,2723.6,2923.8,260,243.4,120,100,246,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0,0
11957,1,1,2,2,30,3,2,0.5,0.5,0.5,0.5,21617.4,20661.4,20749.8,15792.2,15236,15270.6,0,1020,682.2,600.6,600,600.2,0,1,1,5,0,0.2,0.2,0.2,0.2,1,1
17679,4,1,2,1,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,348.4,0,0,0,0,348.4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
15511,0,0,3,2,40,1,2,0.5,0.5,0.5,2,3525.8,3410.6,3559.2,3745.8,3809.8,3460,0,265,251.6,274.6,0,120.4,1,1,1,5,0,0.2,0.2,0.2,0,1,0
8129,1,1,2,1,35,0,0.5,0.5,0.5,0.5,0.5,11603.4,11896.2,12072,7661.4,7103.8,7071.2,479.2,422,254.4,251.4,249,227.6,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,0
21176,1,1,2,1,40,0,0.5,0.5,0.5,0.5,0.5,14980.6,9882.6,10162.4,10052.2,5944,6046.6,424,500,381,300,240,240,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,0
16631,1,1,2,1,25,0,0,0.5,0,0.0001,0.0001,11344,1191.6,860.6,770,0,0,1191.6,864.2,773.8,0,0,0,1,0,0,0,1,1,1,1,1,0,0
15783,0,0,2,2,40,0,0.5,0.5,0.5,0.5,0.5,3143.4,3344.8,3610.2,3751.8,3826.4,3936.8,255.2,320.6,262.2,136.8,172,174.8,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,0
10172,3,0,1,1,40,2,4,3,2,2,2,67840.4,67499,65140,62797.6,65508.4,63425.8,1000,0,0,4760,0,2433,1,1,1,5,0.2,0,0,0.2,0,1,3
13928,1,1,2,2,25,0,0.5,0.5,0,0,0.0001,880.6,399,60,0,0,0,200,60,0,0,0,0,0,0,0,1,0.7,1,1,1,1,0,0
21265,3,1,2,2,35,0,0.5,0.5,0.5,0.5,0.5,14202.4,12163.2,11865.6,11538.4,10562.2,9813.4,440,600.6,560,366.8,370,600,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
15670,6,0,1,2,30,2,2,2,2,2,0.5,107818.4,110446.8,113110,114561,164708,100274,4600,4600,3600,0,3674.6,3631.8,0,0,1,5,0.2,0.2,0.2,0,0.2,1,5
9665,1,1,2,1,50,0.0001,0,0.5,0,0,0.1,0,39.6,39.6,64.8,34.2,0,39.6,39.6,64.8,34.2,0,28.8,0,0,0,0,1,1,1,1,1,1,0
11487,3,1,1,2,30,1,0,0.0001,0.0001,0,0.1,0,0,0,0,30000,0,0,0,0,30000,0,53.4,0,0,0,0,1,1,1,1,1,0.01,0
22027,2,0,2,2,25,0,0.5,0.5,0,0,0.1,1445.6,1247.6,1253,1086,979.6,648,240,473.4,1086,979.6,648,1567.6,0,0,0,2,0.2,0.5,1,1,1,1,2
9779,1,1,1,2,25,0.0001,0,0.5,0,0,0.1,719.4,879.6,747.6,279.2,2613.8,257,879.6,749.2,279.2,2613.8,257,206.8,1,0,0,0,1,1,1,1,1,0.5,0
22377,1,0,3,2,30,0,0.5,0.5,0.5,0.5,0.5,2111.4,2413.8,2969.8,3517,3598,4136.4,400,600,600,200,600,600,0,0,0,5,0.2,0.5,0.2,0.2,0.2,1,1
5486,0,1,2,2,20,0,0.5,0.5,0.5,0.5,0.1,5489.4,5724.6,5740,5860,0,0,384.6,200,120,0,0,0,1,0,0,3,0.2,0.2,0.2,1,1,0,0
17792,3,1,3,1,50,0,0.5,0.5,0.5,0.5,0.5,51777,52236.6,52509.2,47722.8,39029.8,39154.2,2000,2200,2613.4,2000.6,1600,2297.6,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,3
14950,1,1,1,2,35,0,0.5,0.5,0.5,0.5,0.5,14239.8,14398.6,14730.4,15096.4,15337.2,9556.2,514.8,563.2,640,582.2,360,400,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
3359,1,1,2,1,35,0,0.5,0.5,0.5,0.5,0.5,5340.4,5323.2,5340.8,5528,6007,6739.4,401.6,400,400,600,1000,600,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,1
2801,8,1,2,1,40,0.0001,0,0.5,0,0,0.1,14499,19925.6,14927,12749.8,17013.4,16641.6,19932.8,14928,12751.6,17014.4,16643,24812.6,0,0,0,0,1,1,1,1,1,1,35
11471,2,1,2,1,40,0.0001,0,0.5,0,0,0.5,21.4,165,1521.8,165,330,165,165,1521.8,165,330,0,1642.8,0,0,0,1,1,1,1,1,0,1,2
9930,0,0,3,2,30,0.0001,0,2,2,0,0.0001,78,156,156,0,0,0,156,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
713,2,1,3,1,50,0.0001,2,0.5,0,0,0.1,400,200,425,425,200,425,0,425,425,200,425,4650,0,0,0,1,0,1,1,1,1,1,7
4415,0,1,2,1,25,1,2,2,2,2,2,2437.2,2340,2694.8,2601.2,2748.6,2233.4,0,400,0,211,0,43,0,1,1,5,0,0.2,0,0.2,0,0.5,0
2186,2,1,1,1,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,283.4,2528.6,795.4,0,500,39.8,2532,795.4,0,500,39.8,588.8,0,0,0,0,1,1,1,1,1,1,1
21114,3,1,1,2,30,0,0.5,0.5,0.5,0.5,0.5,33844.6,35844.6,39844.6,40497.2,40187,0.0001,2000,4000,2204.4,987,1.2,568.8,0,0,0,4,0.2,0.2,0.2,0.2,0,0.5,1
6782,3,1,1,1,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,218.4,267,244.4,302.6,532.2,487.2,267,244.4,302.6,532.2,487.2,7403,0,0,0,0,1,1,1,1,1,1,11
16528,3,1,1,2,25,0,0.5,0.5,0.5,0,0.5,9137.4,6222.8,4373.4,2638,5563.4,4400.2,1000,317,605.6,5563.4,0,0,0,0,0,4,0.2,0.2,0.5,1,0,0,0
21403,1,1,1,1,30,1,0,0.5,0,0,0.1,0,0,380,1482.2,380,0,0,380,1482.2,380,0,0,0,0,0,0,1,1,1,1,1,0,0
15714,3,0,1,1,40,0.0001,0,0.0001,0.0001,0.0001,0.0001,2275.8,2217.2,622.4,670.2,251.8,3854.2,2251.6,622.4,670.2,251.8,3854.2,3398.4,0,0,0,0,1,1,1,1,1,1,5
15316,0,0,1,2,20,0.0001,0.5,0.5,2,2,0.5,195.4,357.4,513.2,634.8,526.8,309.4,238,269.8,240,0,109.4,46.2,0,0,0,5,0.7,0.7,0.5,0,0.5,0.5,0
12462,2,0,2,1,35,1,2,0.5,0.5,0.5,0.5,1987.4,1925.8,2126.6,2129.8,2114,2096.2,0,235,227,200,200,200,0,1,0,5,0,0.2,0.2,0.2,0.2,1,0
7750,2,0,2,1,40,0.0001,0.5,0.0001,0.0001,0.0001,0.0001,4605,4473.8,4668.8,4725.4,795.4,220,0,280,222,200,0,347.2,1,0,0,5,0,0.2,0.2,0.5,0,1,0
317,5,1,1,2,25,0,0.5,0.5,0.5,0.5,0.5,33932.2,33439.8,31704,31395.4,31592.6,30387.2,1614.2,1804.2,1402.6,1202.6,1205.6,1202,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1,2
2327,3,0,2,2,25,0.0001,0,0.0001,0.0001,0.0001,0.0001,359.8,353.6,369.6,0.0001,320.2,0.0001,356.4,371.4,0,321.8,0.6,215.4,0,0,0,0,1,1,0,1,0,1,0
