ID,CRED_LIMIT,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,Default,PAY_B,cc1,cc2,cc3,cc4,cc5,PAY6LIT,c00,c04,c05,xgbresult
7153,48.0,1,2,2,25,0,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,5,4,4,0.0
13808,4.0,1,2,2,20,2,0,0,0,0,1,3,0.2,0.2,0.2,1.0,1.0,0.0,9,-2147483648,-2147483648,1.0
16344,12.0,1,4,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,10,10,9,0.0
21164,32.0,1,3,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,7,8,0.0
9671,64.0,1,2,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,4,3,3,0.0
11406,12.0,1,1,2,25,0,0,2,2,0,1,5,0.5,0.2,0.0,0.2,0.2,0.7,0,1,1,0.0
12800,20.0,1,2,2,20,0,0,0,0,-1,0,4,0.2,0.2,0.2,1.0,0.5,0.5,9,-2147483648,4,0.0
13996,30.0,1,1,2,20,0,0,0,2,0,0,5,0.2,0.2,0.0,0.2,0.2,1.0,5,5,5,0.0
13651,96.0,0,1,2,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,6,6,0.0
3409,30.0,0,3,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,4,5,0.0
545,2.0,0,2,1,40,0,0,0,2,0,1,5,0.2,0.2,0.0,0.2,0.2,0.5,6,9,10,0.0
4360,38.0,0,1,2,35,2,2,2,2,2,1,5,0.2,0.2,0.2,0.2,0.2,1.0,5,5,5,1.0
1103,32.0,1,3,2,25,1,-1,-2,-2,-2,1,0,1.0,1.0,1.0,1.0,1.0,0.0,-2147483648,-2147483648,-2147483648,0.0
7762,100.0,0,1,2,30,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0,-2147483648,-2147483648,0.0
16836,10.0,1,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.7,0.2,0.2,0.2,9,5,5,0.0
5043,40.0,0,1,1,40,1,2,2,2,2,1,5,0.0,0.2,0.0,0.5,0.0,1.0,2,2,4,1.0
9186,16.0,0,1,2,20,0,0,0,-1,0,0,4,0.5,0.5,1.0,0.7,0.5,0.2,2,0,0,0.0
6766,34.0,1,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,2,2,2,0.0
4439,40.0,1,3,1,40,-1,-1,-1,-1,-1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,-2147483648,-2147483648,0.0
19694,18.0,1,1,2,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,5,6,5,0.0
12593,44.0,0,3,1,35,2,2,2,2,2,1,5,0.2,0.2,0.2,0.2,0.2,0.0,7,8,9,1.0
17010,64.0,1,3,1,40,1,-1,2,2,-1,0,1,1.0,0.0,0.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
13209,34.0,1,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,8,7,8,0.0
4075,16.0,0,2,2,25,-1,0,0,0,0,0,5,0.2,0.2,0.7,0.2,0.2,0.7,9,7,8,0.0
17896,72.0,0,1,2,25,1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,0.7,-2147483648,-2147483648,-2147483648,0.0
20123,10.0,0,1,1,30,0,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,4,5,5,0.0
17879,72.0,1,2,2,50,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,5,4,4,0.0
4942,72.0,0,1,1,40,0,-1,0,0,0,0,3,1.0,0.7,0.7,0.5,1.0,1.0,0,0,-2147483648,0.0
1189,10.0,1,2,1,30,0,0,0,0,0,0,4,0.2,0.2,0.2,0.5,1.0,0.0,9,0,-2147483648,0.0
11317,4.0,0,2,1,35,3,2,0,0,0,0,5,0.0,0.5,0.5,0.2,0.2,0.0,10,2,2,1.0
16824,46.0,1,1,2,35,-1,-1,-1,-1,-1,0,1,1.0,1.0,1.0,1.0,1.0,0.5,-2147483648,-2147483648,0,0.0
18612,70.0,0,2,2,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,7,4,4,0.0
22487,10.0,0,2,1,40,1,2,2,2,0,0,5,0.2,0.2,0.0,0.2,0.2,0.7,7,4,2,0.0
15982,4.0,0,5,2,50,0,0,0,2,0,1,5,0.2,0.2,0.2,0.5,0.0,0.5,10,4,0,0.0
6053,44.0,0,2,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,0.7,0,-2147483648,-2147483648,0.0
15646,50.0,0,1,1,35,0,-1,-1,-1,-1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,10,-2147483648,0,0.0
2685,2.0,1,3,1,50,0,0,2,2,2,0,5,0.5,0.0,0.2,0.0,0.2,0.7,6,9,10,1.0
17613,4.0,1,2,1,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.5,0.0,6,2,1,0.0
11719,56.0,1,1,2,25,1,-1,-1,-1,0,1,2,1.0,1.0,1.0,0.0,0.0,0.0,-2147483648,0,0,0.0
734,36.0,0,1,2,25,-1,-1,-1,-1,-1,0,1,1.0,0.0,1.0,1.0,0.0,0.2,-2147483648,-2147483648,0,0.0
8781,30.0,1,2,2,20,1,2,0,0,0,0,5,0.01,0.2,0.2,0.2,0.2,1.0,9,7,8,0.0
16040,16.0,0,1,1,50,0,-1,0,0,0,0,4,1.0,0.2,0.2,0.2,0.0,0.5,0,3,3,0.0
17864,100.0,1,2,2,40,-1,-1,-1,0,0,1,3,1.0,1.0,0.2,0.0,0.0,1.0,-2147483648,0,0,0.0
7606,42.0,0,2,2,25,1,-1,-2,-2,-1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,-2147483648,-2147483648,0,0.0
2210,52.0,0,3,2,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,10,7,6,0.0
8814,26.0,1,1,1,35,-1,-1,-1,-1,-2,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0,-2147483648,-2147483648,0.0
16683,60.0,1,1,2,30,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,0.5,-2147483648,-2147483648,-2147483648,0.0
15917,16.0,0,1,2,35,1,2,2,2,2,1,5,0.2,0.2,0.2,0.2,0.0,1.0,8,8,9,0.0
18469,6.0,0,1,2,30,-1,-1,0,0,-1,1,2,1.0,1.0,0.7,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
15717,54.0,0,2,1,40,2,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,6,6,6,1.0
15601,68.0,0,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,9,7,5,0.0
11293,4.0,0,3,2,35,1,3,2,0,0,0,5,0.0,0.0,0.2,0.2,0.2,1.0,4,4,5,1.0
9582,34.0,1,2,1,40,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
4309,80.0,1,1,1,35,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,-2147483648,-2147483648,0.0
12372,24.0,0,2,2,20,1,2,0,0,0,1,5,0.01,0.2,0.2,0.2,0.2,0.0,9,4,1,0.0
7597,26.0,1,2,1,35,1,2,2,2,0,1,5,0.0,0.2,0.0,0.2,0.2,1.0,4,5,5,0.0
13111,46.0,1,1,2,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.5,1.0,0,0,1,0.0
7916,26.0,1,1,2,25,2,0,0,2,0,1,5,0.2,0.2,0.01,0.2,0.2,0.0,8,8,9,1.0
13929,36.0,1,1,2,25,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
10812,30.0,1,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,5,4,4,0.0
14054,10.0,1,2,1,20,0,0,0,-1,-1,1,2,0.2,0.5,1.0,0.0,1.0,1.0,1,-2147483648,-2147483648,0.0
6681,12.0,1,2,2,20,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,8,4,4,0.0
7823,16.0,0,1,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,9,7,6,0.0
22245,10.0,0,2,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,7,8,4,0.0
12650,100.0,0,3,2,35,0,-1,-1,-1,-1,0,1,1.0,1.0,1.0,1.0,0.2,1.0,-2147483648,-2147483648,0,0.0
8146,12.0,0,1,2,25,1,-1,-1,0,0,0,3,1.0,1.0,0.0,0.5,0.7,0.0,-2147483648,1,0,0.0
5565,16.0,0,1,2,25,-1,-1,2,0,0,0,4,1.0,0.0,0.5,0.0,0.0,1.0,0,0,0,0.0
6158,4.0,1,2,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.0,5,6,6,0.0
11957,22.0,1,2,2,30,3,2,0,0,0,0,5,0.0,0.2,0.2,0.2,0.2,1.0,9,6,6,1.0
17679,74.0,1,2,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,0.0,-2147483648,-2147483648,-2147483648,0.0
15511,4.0,0,3,2,40,1,2,0,0,0,1,5,0.0,0.2,0.2,0.2,0.0,1.0,8,8,9,1.0
8129,12.0,1,2,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,9,5,5,0.0
21176,10.0,1,2,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,10,5,5,0.0
16631,16.0,1,2,1,25,0,-1,-1,-1,-2,1,0,1.0,1.0,1.0,1.0,1.0,0.0,7,-2147483648,-2147483648,0.0
15783,4.0,0,2,2,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,7,9,10,0.0
10172,64.0,0,1,1,40,2,4,3,2,2,1,5,0.2,0.0,0.0,0.2,0.0,1.0,10,9,10,1.0
13928,18.0,1,2,2,25,0,0,-1,-1,-1,0,1,0.7,1.0,1.0,1.0,1.0,0.0,0,-2147483648,-2147483648,0.0
21265,50.0,1,2,2,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,2,2,1,0.0
15670,110.0,0,1,2,30,2,2,2,2,2,0,5,0.2,0.2,0.2,0.0,0.2,1.0,9,10,9,1.0
9665,20.0,1,2,1,50,-2,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
11487,60.0,1,1,2,30,1,-1,-2,-2,-1,0,0,1.0,1.0,1.0,1.0,1.0,0.01,-2147483648,-2147483648,-2147483648,0.0
22027,34.0,0,2,2,25,0,0,0,-1,-1,0,2,0.2,0.5,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
9779,26.0,1,1,2,25,-1,-1,-1,-1,-1,1,0,1.0,1.0,1.0,1.0,1.0,0.5,0,-2147483648,-2147483648,0.0
22377,26.0,0,3,2,30,0,0,0,0,0,0,5,0.2,0.5,0.2,0.2,0.2,1.0,0,1,1,0.0
5486,6.0,1,2,2,20,0,0,0,0,0,1,3,0.2,0.2,0.2,1.0,1.0,0.0,9,-2147483648,-2147483648,0.0
17792,52.0,1,3,1,50,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,7,8,0.0
14950,24.0,1,1,2,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,5,6,3,0.0
3359,20.0,1,2,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,2,2,2,0.0
2801,150.0,1,2,1,40,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
11471,36.0,1,2,1,40,-1,-1,-1,-1,-1,0,1,1.0,1.0,1.0,1.0,0.0,1.0,-2147483648,-2147483648,0,0.0
9930,4.0,0,3,2,30,-1,-1,2,2,-1,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0,-2147483648,-2147483648,0.0
713,32.0,1,3,1,50,-1,2,-1,-1,-1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
4415,4.0,1,2,1,25,1,2,2,2,2,0,5,0.0,0.2,0.0,0.2,0.0,0.5,5,6,5,1.0
2186,40.0,1,1,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
21114,60.0,1,1,2,30,0,0,0,0,0,0,4,0.2,0.2,0.2,0.2,0.0,0.5,5,6,-2147483648,0.0
6782,58.0,1,1,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
16528,50.0,1,1,2,25,0,0,0,0,-1,0,4,0.2,0.2,0.5,1.0,0.0,0.0,1,-2147483648,0,0.0
21403,16.0,1,1,1,30,1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,-2147483648,-2147483648,-2147483648,0.0
15714,68.0,0,1,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
15316,8.0,0,1,2,20,-1,0,0,2,2,0,5,0.7,0.7,0.5,0.0,0.5,0.5,0,0,0,0.0
12462,30.0,0,2,1,35,1,2,0,0,0,0,5,0.0,0.2,0.2,0.2,0.2,1.0,0,0,0,0.0
7750,40.0,0,2,1,40,-2,0,-2,-2,-2,1,5,0.0,0.2,0.2,0.5,0.0,1.0,1,0,0,0.0
317,88.0,1,1,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,3,3,3,0.0
2327,56.0,0,2,2,25,-2,-1,-2,-2,-2,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0,-2147483648,-2147483648,0.0
20120,72.0,0,1,2,25,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,-2147483648,-2147483648,0.0
17049,38.0,1,1,2,30,0,0,0,0,0,0,5,0.2,0.2,0.5,0.2,0.2,1.0,6,5,5,0.0
16759,40.0,1,2,2,25,1,-1,2,-1,0,0,3,1.0,0.0,1.0,0.0,0.0,1.0,-2147483648,0,0,0.0
6519,62.0,1,2,1,30,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
6256,36.0,1,2,2,30,2,0,0,0,2,1,5,0.2,0.2,0.2,0.2,0.2,1.0,2,3,3,1.0
9513,40.0,1,2,2,30,0,0,0,0,-1,0,2,0.2,0.2,0.0,0.0,0.0,0.0,2,-2147483648,-2147483648,0.0
11486,16.0,1,3,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,2,2,2,0.0
2706,40.0,0,1,1,50,0,0,0,2,2,0,5,0.2,0.2,0.0,0.2,0.2,0.0,1,1,1,0.0
2523,84.0,0,2,1,35,0,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,9,9,10,0.0
16497,20.0,1,2,2,25,0,0,0,0,0,0,5,0.2,0.5,0.2,0.2,0.5,1.0,3,1,1,0.0
12617,70.0,0,3,1,40,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
15879,10.0,0,2,2,40,0,0,0,0,0,0,5,0.2,0.2,0.7,0.2,0.7,1.0,6,4,2,0.0
17548,22.0,1,2,1,35,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
10897,36.0,1,3,2,20,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,6,4,4,0.0
22191,4.0,0,2,2,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,6,8,9,0.0
13636,72.0,0,1,1,35,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,0.2,-2147483648,-2147483648,-2147483648,0.0
8179,4.0,1,3,1,40,0,0,0,0,2,0,5,0.2,0.2,0.2,0.0,0.2,1.0,9,9,8,0.0
16052,24.0,1,2,3,50,2,2,2,2,2,1,5,0.0,0.2,0.2,0.2,0.0,1.0,6,7,8,1.0
20092,52.0,0,1,2,25,0,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,9,8,9,0.0
3739,54.0,1,1,1,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,3,3,3,0.0
15639,48.0,0,1,2,30,-1,-1,2,-1,0,1,2,1.0,0.0,1.0,0.0,1.0,1.0,-2147483648,0,-2147483648,0.0
21565,36.0,1,2,3,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,7,3,3,0.0
21408,24.0,1,2,1,30,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,8,9,10,0.0
21542,62.0,1,2,1,40,-1,0,0,0,0,0,5,0.2,0.5,0.2,0.2,0.2,0.5,2,3,2,0.0
11984,16.0,1,2,1,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,8,4,5,0.0
13557,10.0,0,3,1,40,2,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,0.7,9,3,3,1.0
22126,2.0,0,2,1,40,2,2,3,2,2,1,5,0.5,0.0,0.2,0.2,0.0,1.0,3,8,10,1.0
6267,52.0,1,1,1,35,0,0,0,0,-1,0,3,0.2,0.2,0.0,1.0,0.2,0.2,3,-2147483648,5,0.0
20652,4.0,0,3,1,50,3,4,3,2,3,1,5,0.0,0.0,0.2,0.0,0.0,1.0,6,7,8,1.0
8671,70.0,1,1,2,35,1,-1,-1,-1,-2,0,0,0.0,1.0,0.0,0.0,0.0,1.0,-2147483648,-2147483648,-2147483648,0.0
13381,2.0,0,2,2,20,0,0,-1,0,0,1,4,0.7,1.0,0.7,0.7,0.2,1.0,-2147483648,4,4,0.0
10792,10.0,0,3,2,20,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,9,1,1,0.0
9506,86.0,1,2,1,40,2,2,2,2,2,1,5,0.2,0.2,0.0,0.2,0.2,0.0,6,6,8,1.0
6641,10.0,1,2,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,9,10,0.0
159,42.0,1,1,1,35,1,-1,-1,0,-1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
161,6.0,0,2,2,35,0,0,0,2,0,0,5,0.2,0.2,0.0,0.2,0.5,0.2,9,2,2,0.0
3489,66.0,1,1,2,40,0,0,2,0,0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,7,7,8,0.0
16655,36.0,1,2,2,20,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,9,4,3,0.0
7211,24.0,0,1,1,30,2,2,2,2,2,1,5,0.2,0.2,0.2,0.2,0.0,1.0,7,8,9,1.0
942,14.0,0,3,2,25,1,2,0,0,0,0,5,0.0,0.2,0.2,0.2,0.2,1.0,9,9,10,0.0
22117,20.0,0,5,1,40,0,0,0,0,0,0,4,0.2,0.2,0.2,0.2,1.0,0.0,9,8,-2147483648,0.0
6350,16.0,0,2,2,25,-1,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,5,5,5,0.0
20142,46.0,0,3,1,40,0,0,2,0,0,0,5,0.5,0.0,0.2,0.2,0.2,1.0,0,0,0,0.0
1765,4.0,0,2,1,30,0,0,2,0,0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,5,7,8,0.0
5859,42.0,1,2,1,40,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0,-2147483648,-2147483648,0.0
19708,12.0,1,2,1,35,-1,2,2,2,2,0,5,0.5,0.5,0.2,0.0,0.2,0.0,0,0,0,0.0
13714,2.0,0,2,2,50,0,0,0,2,2,0,5,0.5,0.5,0.2,0.0,0.2,1.0,1,7,8,0.0
15690,10.0,0,1,2,35,2,2,0,0,0,1,5,0.0,0.2,0.2,0.2,0.2,1.0,8,9,4,1.0
2137,30.0,1,1,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.5,0.5,4,1,1,0.0
19525,130.0,1,1,2,25,1,-1,-1,-1,0,0,2,1.0,1.0,1.0,0.7,1.0,1.0,0,0,0,0.0
11031,6.0,0,1,2,25,1,2,2,2,0,1,5,0.0,0.2,0.0,0.2,0.2,1.0,6,7,8,1.0
19699,10.0,1,3,1,40,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,1.0,8,9,10,0.0
3997,40.0,1,1,2,25,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,0.7,-2147483648,-2147483648,-2147483648,0.0
11654,26.0,0,2,2,35,1,-1,-2,-2,-1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,-2147483648,-2147483648,-2147483648,0.0
777,12.0,0,2,2,25,1,2,0,0,2,1,5,0.0,0.2,0.2,0.2,0.0,1.0,6,8,9,1.0
8856,40.0,1,1,2,30,-1,-1,-1,-1,-1,1,0,1.0,1.0,1.0,1.0,1.0,0.5,-2147483648,-2147483648,-2147483648,0.0
11934,40.0,1,1,2,25,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,0.0,0.7,2,-2147483648,-2147483648,0.0
8607,26.0,1,1,2,25,-1,-1,2,0,0,0,5,0.5,0.0,0.2,0.2,0.5,1.0,0,0,0,0.0
7433,10.0,1,3,2,40,2,2,2,2,2,1,5,0.0,0.2,0.2,0.0,0.2,1.0,8,8,9,1.0
19380,14.0,1,3,2,40,0,0,2,0,0,1,5,0.2,0.0,0.2,0.2,0.2,1.0,9,6,6,0.0
2080,10.0,1,1,2,20,2,3,2,2,2,1,5,0.0,0.2,0.2,0.2,0.2,0.0,8,8,9,1.0
21628,50.0,1,2,2,30,0,0,0,0,0,0,5,0.2,0.2,0.5,0.2,1.0,0.5,10,1,0,0.0
4396,50.0,1,2,2,35,-1,-1,-1,-1,0,0,2,1.0,0.0,1.0,0.7,0.5,1.0,-2147483648,0,0,0.0
8623,16.0,0,2,2,25,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.5,9,3,3,0.0
9720,30.0,1,3,1,20,0,0,0,0,0,0,5,0.2,0.5,0.5,0.2,0.2,1.0,-2147483648,1,0,0.0
10797,52.0,1,1,2,25,-1,-1,-1,0,0,0,2,1.0,1.0,1.0,0.0,1.0,0.7,1,0,-2147483648,0.0
16159,2.0,1,2,2,20,-1,-1,-1,0,0,0,2,1.0,1.0,0.2,0.2,0.0,1.0,-2147483648,7,-2147483648,0.0
50,40.0,0,1,1,50,-2,0,-2,-1,2,1,4,0.0,0.0,1.0,0.2,0.0,0.7,7,0,0,0.0
7236,34.0,1,2,2,30,0,0,0,-1,-1,0,2,0.2,0.2,1.0,1.0,1.0,0.7,0,-2147483648,-2147483648,0.0
2601,30.0,0,1,2,35,0,0,0,0,0,0,5,0.2,0.2,0.2,0.2,0.2,0.7,9,6,5,0.0
11139,20.0,1,2,1,35,-2,-1,-2,-2,-2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,-2147483648,-2147483648,-2147483648,0.0
7622,6.0,0,1,2,20,-1,-1,-1,-1,-1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,2,-2147483648,-2147483648,0.0
5760,10.0,1,3,2,40,2,2,2,2,2,1,5,0.2,0.2,0.2,0.2,0.0,1.0,4,5,5,1.0
15451,44.0,0,2,2,30,0,0,0,0,0,1,5,0.2,0.2,0.2,0.2,0.2,1.0,7,5,5,0.0
